Verb,Prep
благодарить,за
быть,
быть,вне
взывать,к
возбудить,
возрасти,
вызвать,
выпасть,из
выразить,
гордиться,
добиться,благодаря
добиться,
дорожить,
завладевать,
завладеть,
задержать,
задержаться,
занять,
заострить,
заплатить,за
заслужить,
захватить,
злоупотребить,
избаловать,
избегнуть,
избежать,
испытывать,
концентрироваться,
лишиться,
льстить,
направить,
напрячь,
обделить,
обделиться,
обойти,
обратить,
обратить,на себя
обращаться,
обязать,
овладеть,
оказать,
оказаться,в сфере
оказываться,
окружить,
ослабевать,
ослабить,
ослабнуть,
оставить,без
остановить,
остановиться,
остаться,за пределами
отвести,
ответить,на
отвлечь,
отводиться,
отказать,во
отличить,
отнестись,с
оценить,
ощутить,
ощущаться,
переключаться,
переключить,
перенести,
переутомить,
подтверждать,
подчёркивать,
пользоваться,
попросить,
почувствовать,
предложить,
предоставить,
преисполниться,
привлечь,
привыкнуть,к
придаваться,
придать,
призвать,к
приковать,
принять,во
притупить,
проявить,
проявляться,
распространить,
распространиться,
распылять,
рассеиваться,
рассчитывать,на
свидетельствовать,
свидетельствовать,о
связывать,
сконцентрировать,
скрываться,из-за
слушать,со
смутить,
смутиться,от
снижать,
сосредотачивать,
сосредоточиваться,
сосредоточить,
сосредоточиться,
стоить,
требовать,
тронуть,
увеличить,
увеличиться,
удвоить,
уделить,
уделяться,
удержать,
удостоить,
удостоиться,
укрыть,от
усилить,
ускользать,из
ускользнуть,из
устремить,
утратить,
хотеть,
хотеться,
ценить,
цениться,
чувствоваться,
