Verb,Prep
акцентировать,
баловать,
благодарить,за
быть,вне
взывать,к
владеть,
возбудить,
возбуждать,
вызвать,
вызывать,
выпадать,из
выпасть,из
выражать,
выразить,
гордиться,
добиваться,
добиться,благодаря
добиться,
дорожить,
завладевать,
завладеть,
задержать,
задерживать,
занимать,
занять,
заострить,
заострять,
заплатить,за
заполучить,
заслуживать,
заслужить,
засмущаться,от
захватить,
захватывать,
злоупотребить,
злоупотреблять,
избаловать,
избегать,
избегнуть,
избежать,
испытывать,
концентрировать,
лишаться,
лишиться,
направить,
направлять,
напрягать,
напрячь,
обойти,
обратить,
обращать,
обходить,
привлекать,
придавать,
придать,
снижать,
уделить,
уделять,
уделяться,
удостаивать,
удостоить,
обделить,
обделиться,
обделять,
обделяться,
обратить,на себя
обращать,на себя
обязать,
овладеть,
оказать,
оказаться,в сфере
оказывать,
оказываться,в сфере
окружать,
окружить,
ослабить,
ослаблять,
оставаться,за пределами
оставить,без
оставлять,без
останавливать,
остановить,
остаться,за пределами
отблагодарить,за
отвести,
ответить,на
отвечать,на
отвлекать,
отвлечь,
отводить,
отказать,во
отказывать,во
отличить,
отнестись,с
относиться,с
оценить,
ощутить,
ощущать,
переключать,
переключить,
перенести,
переносить,
переутомить,
переутомлять,
подчёркивать,
пользоваться,
попросить,
почувствовать,
предлагать,
предложить,
предоставить,
преисполниться,
преисполняться,
привлечь,
привыкать,к
привыкнуть,к
призвать,к
призывать,к
приковать,
приковывать,
принимать,во
принять,во
притупить,
притуплять,
просить,
проявить,
проявлять,
распространить,
распространять,
распылять,
рассчитывать,на
свидетельствовать,о
связывать,
сконцентрировать,
скрываться,из-за
слушать,со
смутить,
смутиться,от
смущать,
смущаться,от
сосредотачивать,
сосредоточивать,
сосредоточить,
сподобиться,
стоить,
требовать,
трогать,
тронуть,
увеличивать,
увеличить,
удваивать,
удвоить,
удержать,
удерживать,
удостаиваться,
удостоиться,
укрывать,от
укрыть,от
усиливать,
усилить,
ускользать,из
ускользнуть,из
устремить,
устремлять,
утратить,
утрачивать,
фиксировать,
хотеть,
хотеться,
ценить,
чувствовать,
