Verb,Prep
быть,
акцентировать,
возрастать,
задерживать,
концентрировать,
льстить,
уделять,
обращать,
оказывать,
окружать,
ослабевать,
ослабеть,
останавливать,
отводить,
ощущать,
переключать,
подтверждать,
придавать,
проявлять,
распространять,
рассеивать,
свидетельствовать,
сосредотачивать,
сосредоточивать,
трогать,
увеличивать,
ценить,
чувствовать,
баловать,
благодарить,за
быть,вне
взывать,к
владеть,
возбуждать,
вызывать,
выпадать,из
выражать,
гордить,
добивать,
добивать,благодаря
дорожить,
завладевать,
занимать,
заострять,
платить,за
заполучить,
заслуживать,
засмущать,от
захватывать,
злоупотреблять,
избегать,
испытывать,
лишать,
направлять,
напрягать,
обходить,
привлекать,
снижать,
удостаивать,
обделять,
обращать,на себя
обязывать,
оказывать,в сфере
ослаблять,
оставать,за пределами
оставлять,без
отблагодарить,за
отвечать,на
отвлекать,
отказывать,во
отличать,
относить,с
оценивать,
переносить,
переутомлять,
подчёркивать,
пользовать,
просить,
предлагать,
предоставлять,
преисполнять,
привыкать,к
призывать,к
приковывать,
принимать,во
притуплять,
распылять,
рассчитывать,на
свидетельствовать,о
связывать,
скрывать,из-за
слушать,со
смущать,
смущать,от
сподобить,
стоить,
требовать,
удваивать,
удерживать,
укрывать,от
усиливать,
ускользать,из
ускальзывать,из
устремлять,
утрачивать,
фиксировать,
хотеть,
