InfForm,Prep
абстрагировать,
адресовать,
баллотировать,
беспокоить,
будировать,
быть,
вернуться,к
включить,
внести,
вносить,
возбудить,
возбуждать,
возвратиться,к
возникать,
возникнуть,
волновать,
вспылить,по поводу
вставать,
встать,
входить,
выдвигать,
выдвинуть,
выделить,
вынести,
выносить,
выяснить,
выяснять,
голосовать,
голосовать,по
дебатировать,
делать,в ключе
деполитизировать,
дискутировать,
договориться,по
забалтывать,
заботить,
зависеть,
задаваться,
задаться,
задуматься,над
задумываться,над
задумываться,относительно
заинтересоваться,
заключаться,
закрыть,
занимать,
заниматься,
заняться,
заострить,
заострять,
запутать,
затрагивать,
затрагиваться,
затронуть,
значиться,
излагать,
излагаться,
изложить,
изучать,
изучаться,
изучить,
иллюстрировать,
интересоваться,
исследовать,
истрактовать,
исчерпать,
исчерпывать,
исчерпываться,
касаться,
концентрировать,на
концентрироваться,на
коснуться,
крутиться,
микшироваться,
мудрствовать,с
мучаться,
мучиться,
нависнуть,
навязать,
навязывать,
навязываться,
назревать,
назреть,
обговорить,
обеспокоиваться,
обеспокоиться,
обойти,
обратиться,к
обращаться,к
обсудить,затрагивая
обсудить,
обсуждать,
обсуждаться,
обходить,
оговорить,
озаботиться,
опростоволоситься,с
осветить,
освещать,
освещаться,
оставаться,
оставить,
останавливаться,на
остановиться,на
остаться,
ответить,на
отвечать,на
отвлекать,от
отвлечь,от
отвлечься,от
отложить,
отмахиваться,от
отмахнуться,от
относиться,
относиться,к
отпасть,
перевести,
передавать,
передать,
перейти,к
перескакивать,на
перескакивать,от
пересматривать,
пересматриваться,
пересмотреть,
переходить,к
поднимать,
подниматься,
поднять,
подойти,к
подработать,
подумать,относительно
подходить,к
подымать,
подыматься,
пораздумать,над
поразмыслить,над
поразмышлять,над
порассуждать,касательно
порассуждать,о
порассуждать,относительно
порешать,
порешить,
поставить,
потерять,
предлагать,
предложить,
предрешать,
предрешить,
пригласить,ради
приглашать,ради
проанализировать,
проблематизировать,
провентилировать,
проговорить,
продебатировать,
продолжать,
продумать,
прокомментировать,
прорабатывать,
прорабатываться,
проработать,
просветиться,относительно
просвещаться,относительно
просмотреть,
прояснить,
проясниться,
прояснять,
работать,над
разбираться,с
размыслить,над
размышлять,над
разобрать,
разобраться,с
разрабатывать,
разрабатываться,
разработать,
разрешать,
разрешаться,
разрешить,
разрешиться,
разъяснить,
разъяснять,
распутать,
распутывать,
рассматривать,
рассматриваться,
рассмотреть,
рассуждать,относительно
регулировать,
решать,
решаться,
решить,
решиться,
свести,
сводить,
сводиться,
связать,с
связать,
связывать,с
связывать,
сконцентрировать,на
сконцентрироваться,на
слышать,
смазать,
смазывать,
снимать,
снять,
согласовать,
согласовывать,
сосредотачиваться,на
сосредоточиваться,на
сосредоточиться,на
списаться,по поводу
списываться,по поводу
списываться,только по поводу
ставить,под
ставить,
ставиться,
сталкиваться,с
стать,
стоить,
столкнуться,с
стоять,
стоять,перед
стоять,под
существовать,
сформулировать,
считать,
считаться,
трактовать,
требовать,
увиливать,от
указать,на
уладить,
улаживать,
упираться,
упираться,в
упростить,
упроститься,
урегулировать,
урегулироваться,
ускорить,
уступать,по
уступить,по
уточнить,
уточнять,
уточняться,
утрясаться,
утрясти,
утрясти,с
формулировать,
формулироваться,
форсировать,
явиться,
являться,
