Verb,Prep
баллотировать,
беспокоить,
будировать,
быть,
вернуться,к
включить,
внести,
возбудить,
возвратиться,к
возникнуть,
волновать,
встать,
входить,
выдвинуть,
выделить,
вынести,
выяснить,
голосовать,
голосовать,по
делать,в ключе
дискутировать,
договориться,по
забалтывать,
заботить,
зависеть,
задаться,
задуматься,над
задумываться,относительно
заинтересоваться,
заключаться,
закрыть,
занимать,
заняться,
заострить,
запутать,
затрагиваться,
затронуть,
значиться,
излагаться,
изложить,
изучаться,
изучить,
интересоваться,
истрактовать,
исчерпать,
исчерпываться,
коснуться,
крутиться,
мудрствовать,с
мучиться,
нависнуть,
навязать,
навязываться,
назреть,
обеспокоиться,
обойти,
обратиться,к
обсудить,затрагивая
обсудить,
обсуждаться,
озаботиться,
осветить,
освещаться,
оставить,
остановиться,на
остаться,
ответить,на
отвлечь,от
отвлечься,от
отложить,
отмахнуться,от
относиться,
относиться,к
отпасть,
перевести,
передать,
перейти,к
перескакивать,на
перескакивать,от
пересматриваться,
пересмотреть,
подниматься,
поднять,
подойти,к
подработать,
подумать,относительно
подымать,
подыматься,
поставить,
потерять,
предложить,
предрешить,
пригласить,ради
проанализировать,
провентилировать,
продебатировать,
продолжать,
продумать,
прокомментировать,
прорабатываться,
проработать,
просветиться,относительно
просвещаться,относительно
просмотреть,
прояснить,
проясниться,
работать,над
размыслить,над
разобрать,
разобраться,с
разрабатываться,
разработать,
разрешить,
разрешиться,
разъяснить,
распутать,
рассматриваться,
рассмотреть,
рассуждать,относительно
решить,
решиться,
свести,
сводиться,
связать,с
связать,
связывать,с
связывать,
сконцентрировать,на
сконцентрироваться,на
слышать,
смазать,
снять,
согласовать,
сосредоточиваться,на
сосредоточиться,на
списаться,по поводу
списываться,только по поводу
ставить,под
ставить,
ставиться,
стать,
стоить,
столкнуться,с
стоять,
стоять,перед
стоять,под
существовать,
сформулировать,
считать,
считаться,
требовать,
увиливать,от
указать,на
уладить,
упираться,
упираться,в
упростить,
упроститься,
урегулировать,
урегулироваться,
ускорить,
уступить,по
уточнить,
уточняться,
утрясаться,
утрясти,
утрясти,с
формулироваться,
явиться,
