InfForm,Prep
абстрагировать,
адресовать,
баллотировать,
будировать,
вернуться,к
включить,
внести,
вносить,
возбудить,
возбуждать,
возвратиться,к
вспылить,по поводу
выдвигать,
выдвинуть,
выделить,
вынести,
выносить,
выяснить,
выяснять,
голосовать,
голосовать,по
дебатировать,
делать,в ключе
деполитизировать,
дискутировать,
договориться,по
забалтывать,
задаваться,
задаться,
задуматься,над
задумываться,над
задумываться,относительно
заинтересоваться,
закрыть,
заниматься,
заняться,
заострить,
заострять,
запутать,
затрагивать,
затрагиваться,
затронуть,
излагать,
изложить,
изучать,
изучить,
иллюстрировать,
интересоваться,
исследовать,
истрактовать,
исчерпать,
исчерпывать,
касаться,
концентрировать,на
концентрироваться,на
коснуться,
мучаться,
мучиться,
навязать,
навязывать,
мудрствовать,с
обговорить,
обеспокоиваться,
обеспокоиться,
обойти,
обратиться,к
обращаться,к
обсудить,затрагивая
обсудить,
обсуждать,
обходить,
оговорить,
озаботиться,
опростоволоситься,с
осветить,
освещать,
оставить,
останавливаться,на
остановиться,на
ответить,на
отвечать,на
отвлекать,от
отвлечь,от
отвлечься,от
отложить,
отмахиваться,от
отмахнуться,от
относиться,к
перевести,
передавать,
передать,
перейти,к
перескакивать,на
перескакивать,от
пересматривать,
пересмотреть,
переходить,к
поднимать,
поднять,
подойти,к
подработать,
подумать,относительно
подходить,к
подымать,
пораздумать,над
поразмыслить,над
поразмышлять,над
порассуждать,касательно
порассуждать,о
порассуждать,относительно
порешать,
порешить,
поставить,
предлагать,
предложить,
предрешать,
предрешить,
пригласить,ради
приглашать,ради
проанализировать,
проблематизировать,
провентилировать,
проговорить,
продебатировать,
продумать,
прокомментировать,
прорабатывать,
проработать,
просветиться,относительно
просвещаться,относительно
просмотреть,
прояснить,
прояснять,
работать,над
разбираться,с
размыслить,над
размышлять,над
разобрать,
разобраться,с
разрабатывать,
разработать,
разрешать,
разрешить,
разъяснить,
разъяснять,
распутать,
распутывать,
рассматривать,
рассмотреть,
рассуждать,относительно
регулировать,
решать,
решить,
свести,
сводить,
связать,с
связать,
связывать,с
связывать,
сконцентрировать,на
сконцентрироваться,на
слышать,
смазать,
смазывать,
снимать,
снять,
согласовать,
согласовывать,
сосредотачиваться,на
сосредоточиваться,на
сосредоточиться,на
списаться,по поводу
списываться,по поводу
списываться,только по поводу
ставить,под
ставить,
сталкиваться,с
стать,
столкнуться,с
стоять,перед
стоять,под
сформулировать,
считать,
считаться,
трактовать,
увиливать,от
указать,на
уладить,
улаживать,
упираться,в
упростить,
урегулировать,
ускорить,
уступать,по
уступить,по
уточнить,
уточнять,
утрясти,
утрясти,с
формулировать,
форсировать,
явиться,
являться,
