Verb,Prep
быть,
беспокоить,
возникать,
волновать,
вставать,
входить,
заботить,
зависеть,
задавать,
заключать,
занимать,
затрагивать,
значить,
излагать,
изучать,
исчерпывать,
касать,
крутить,
микшировать,
нависать,
навязывать,
назревать,
обсуждать,
освещать,
оставать,
относить,
отпадать,
пересматривать,
поднимать,
подымать,
терять,
продолжать,
прорабатывать,
прояснять,
разрабатывать,
разрешать,
рассматривать,
решать,
сводить,
ставить,
стоять,
стоить,
существовать,
требовать,
упирать,
прощать,
регулировать,
уточнять,
утрясать,
формулировать,
абстрагировать,
адресовать,
баллотировать,
будировать,
возвращать,к
включать,
вносить,
возбуждать,
вспылить,по поводу
выдвигать,
выделять,
выносить,
вынашивать,
выяснять,
голосовать,
голосовать,по
дебатировать,
делать,в ключе
деполитизировать,
дискутировать,
договаривать,по
забалтывать,
задумывать,над
задумывать,относительно
заинтересовывать,
закрывать,
заострять,
запутывать,
иллюстрировать,
интересовать,
исследовать,
трактовать,
концентрировать,на
мучать,
мучить,
мудрствовать,с
обговорить,
обеспокоивать,
обходить,
обращать,к
обсуждать,затрагивая
оговаривать,
опростоволосить,с
оставлять,
останавливать,на
отвечать,на
отвлекать,от
откладывать,
отмахивать,от
относить,к
переводить,
передавать,
переходить,к
перескакивать,на
перескакивать,от
подходить,к
подрабатывать,
думать,относительно
пораздумать,над
поразмыслить,над
поразмышлять,над
порассуждать,касательно
порассуждать,о
порассуждать,относительно
порешать,
порешить,
поставлять,
предлагать,
предрешать,
приглашать,ради
анализировать,
проблематизировать,
вентилировать,
проговорить,
продумывать,
комментировать,
просвечивать,относительно
просвещать,относительно
просматривать,
работать,над
разбирать,с
размышлять,над
разбирать,
разъяснять,
распутывать,
рассуждать,относительно
вязать,с
вязать,
связывать,с
связывать,
слышать,
смазывать,
снимать,
согласовывать,
сосредотачивать,на
сосредоточивать,на
списывать,по поводу
списывать,только по поводу
ставить,под
сталкивать,с
становиться,
стоять,перед
стоять,под
считывать,
увиливать,от
указывать,на
улаживать,
упирать,в
простить,
ускорять,
уступать,по
утрясать,с
форсировать,
являть,
