Verb,Prep
быть,
быть,в качестве
ввести,
вернуть,
вести,себя
вести,себя как
встретить,
выбежать,к
дать,в честь
добавить,
ёрничать,при
ждать,
жить,в качестве
жить,как
заманить,
занять,
значиться,в качестве
идти,за
идти,к
идти,мимо
идти,от
накладывать,
наливать,
налить,
намекнуть,
ожидать,
оказаться,
остаться,с
отвадить,
пересадить,
подарить,
подать,
пододвинуть,
позвать,
показать,
положить,
посадить,
посетить,
появиться,
предложить,
представить,
представляться,
привести,
пригласить,
прийти,
принять,
пропустить,
рассчитывать,на
сесть,насупротив
снять,с
стать,
считать,
считаться,
удержать,
усадить,
участвовать,в качестве
чествовать,
явиться,
