InfForm,Prep
быть,в качестве
быть,
ввести,
вернуть,
вести,себя
вести,себя как
встретить,
выбежать,к
дать,в честь
добавить,
добавлять,
ёрничать,при
ждать,
жить,в качестве
жить,как
заманить,
занять,
значиться,в качестве
идти,за
идти,к
идти,мимо
идти,от
накладывать,
наливать,
налить,
наложить,
намекнуть,
обласкать,
ожидать,
оказаться,
остаться,с
отвадить,
пересадить,
подарить,
подать,
пододвинуть,
позвать,
показать,
показывать,
положить,
помолчать,при
посадить,
предлагать,
предложить,
представить,
привести,
приветствовать,
пригласить,
принять,
пропустить,
прошмыгнуть,под видом
рассчитывать,на
сажать,
сесть,насупротив
снимать,с
снять,с
спровадить,
стать,
считать,
считаться,
удержать,
усадить,
участвовать,в качестве
чествовать,
явиться,
являться,
