Verb,Prep
быть,
посещать,
появлять,
представлять,
приходить,
проследовать,
являть,
быть,в качестве
вводить,
возвращать,
вести,себя
вести,себя как
встречать,
выбегать,к
давать,в честь
добавлять,
ёрничать,переть
ждать,
жить,в качестве
жить,как
заманивать,
занимать,
значить,в качестве
идти,за
идти,к
идти,мимо
идти,от
накладывать,
наливать,
лить,
намекать,
обласкать,
ожидать,
оказывать,
оставать,с
отваживать,
пересаживать,
дарить,
подавать,
пододвигать,
звать,
показывать,
класть,
помолчать,переть
сажать,
предлагать,
приводить,
приветствовать,
приглашать,
принимать,
пропускать,
прошмыгнуть,под видом
рассчитывать,на
садиться,насупротив
снимать,с
спровадить,
становиться,
считывать,
удерживать,
усаживать,
участвовать,в качестве
чествовать,
