Verb,Prep
автоматизировать,
быть,в
взмокнуть,от
встряхивать,
встряхнуть,
выдать,
выдвигаться,в направлении
вызвать,
вызывать,
выполнять,
выражать,
выразить,
двигаться,синхронно
делать,
довести,
достигнуть,в
замедлить,
заметить,
запомнить,
идти,в противоход к
избегать,при
изменяться,в направлении
изогнуться,
изучать,
истираться,при
калиброваться,по
копировать,
корректировать,посредством
корректировать,с помощью
корректировать,
корректироваться,посредством
корректироваться,с помощью
лежать,без
мешать,
мешать,при
наблюдать,
наблюдать,за
наладить,
находиться,в
начать,
затруднять,
ограничивать,
прекратить,
прекращать,
разговаривать,при
означать,
опустить,
открывать,
открыть,
оторвать,
отрабатывать,
отработать,
оттачивать,
отточить,
переваливаться,при
повторить,
повторять,
поддерживать,
поднимать,
поднять,
показать,
показывать,
помогать,
попадать,в противоход к
преградить,
преграждать,
препятствовать,
привести,в
приводить,в
приводиться,в
прийти,в
приостановить,
приспособиться,к
приходить,в
продолжать,
разорвать,
раскрыться,при
сделать,
сидеть,без
сковывать,
скользить,в
скользить,по направлению
скорректировать,посредством
скорректировать,с помощью
следить,за
совершать,
совершить,
сообщать,
сообщить,
способствовать,
тормозить,
уйти,в направлении
указывать,на
ускорить,
ускорять,
фиксировать,
форсировать,
