Verb,Prep
быть,
вызывать,
делать,
идти,
изучать,
корректировать,
наблюдать,
начинать,
обеспечивать,
повторять,
поддерживать,
получать,
происходить,
прокатывать,
просматривать,
смешить,
совершать,
увеличивать,
ускорять,
автоматизировать,
быть,в
взмокать,от
встряхивать,
выдавать,
выдвигать,в направлении
выполнять,
выражать,
двигать,синхронно
доводить,
достигать,в
замедлять,
замечать,
запоминать,
идти,в противоход к
избегать,переть
изменять,в направлении
изгибать,
истирать,переть
калибровать,по
копировать,
корректировать,посредством
корректировать,с помощью
лежать,без
мешать,
мешать,переть
наблюдать,за
налаживать,
находить,в
затруднять,
ограничивать,
прекращать,
разговаривать,переть
означать,
опускать,
открывать,
отрывать,
отрабатывать,
оттачивать,
переваливать,переть
поднимать,
показывать,
помогать,
попадать,в противоход к
преграждать,
препятствовать,
приводить,в
приходить,в
приостанавливать,
приспосабливать,к
продолжать,
разрывать,
раскрывать,переть
сидеть,без
сковывать,
скользить,в
скользить,по направлению
следить,за
сообщать,
способствовать,
тормозить,
уходить,в направлении
указывать,на
фиксировать,
форсировать,
