Verb,Prep
беспокоиться,относительно
биться,за
болеть,за
болтаться,без
бороться,за
браться,за
бродить,без
бросить,
быть,
быть,без
быть,в
быть,в курсе
быть,всегда при
быть,при
вбухивать,в
вбухнуть,в
вдохновить,на
вдохновлять,на
вернуть,к
вернуться,к
верховодить,в
вести,
вестись,
взяться,за
видеть,в
вложить,в
влюбиться,в
вмазаться,в
вмазываться,в
вмешаться,в
вмешивать,в
вмешиваться,в
внести,в
вникнуть,в
воевать,за
возвратиться,к
возвращаться,к
впутать,в
вредить,
вспомнить,о
входить,
выгореть,
выделить,в
вызвать,по
выйти,
высказаться,вроде по
вытанцовываться,
выходить,
выяснить,
глядеть,на
говорить,
говорить,о
годиться,в
годиться,для
годиться,на
гробить,
давать,
дать,по
дать,
двигать,
двигаться,
делать,
добиться,в
добраться,до
доверять,в
довести,
доводить,
доделать,
доделывать,
дойти,
доказать,
доказать,на
достигнуть,в
доходить,
есть,
ехать,по
заботиться,о
забывать,о
забыть,о
завершать,
завершить,
завести,
зависеть,
заводить,
завязать,с
заглохнуть,
загробить,
задержать,
задерживать,
задумать,
задумывать,
заикнуться,о
закисать,без
закиснуть,без
закончить,
закончиться,
закруглить,
заладиться,
замаяться,без
замешиваться,в
замотать,
замять,
заниматься,
занять,
заняться,
запутать,в
запутать,
запутаться,
запутывать,
застать,за
застопориваться,
застопорить,
застопориться,
затеять,
затормозить,
затягивать,
затянуться,
защищать,
знать,
знать,о
значить,в
идти,
идти,в
излагать,
изложить,
изматывать,
изменить,
изменять,
изучать,
изучить,
иметь,
интересовать,
интересоваться,
использовать,в
испортить,
испытать,в
испытывать,в
касаться,
кипеть,
клеиться,
клониться,
конспектировать,по ходу
концентрировать,на
концентрироваться,на
кончаться,
кончить,
кончить,с
кончиться,
коснуться,
ладиться,
любить,
маяться,без
менять,
меняться,
мешать,
наживаться,на
найтись,
наказать,за
наладить,
налаживать,
напортить,
настраиваться,на
настроиться,на
натореть,в
нахимичить,в
находиться,
начать,
начаться,
начинать,
начинаться,
обделать,
обернуться,
обмозговать,
оборотить,
обратиться,по
обратиться,с
обращаться,по
обращаться,с
обстоять,
обсудить,
обтяпать,
объяснить,
объясниться,
объясняться,
ограничиваться,
ограничиться,
оканчивать,
окончить,
окончиться,
омертвить,
опростоволоситься,с
организовать,
осваивать,
освоить,
осложняться,
оставаться,без
оставить,
остановиться,
остаться,без
осуществить,на
осуществиться,на
отбиваться,от
отбиться,от
отвечать,за
отвлекаться,от
отдать,
открывать,
открыть,
отличиться,в
отложить,
отлучать,от
отлучить,от
относиться,к
оторвать,от
оторваться,от
отразиться,на
отрывать,от
отрываться,от
отстаивать,
отстаиваться,
отстоять,
отстранить,от
отстраниться,от
отстранять,от
отстраняться,от
пахнуть,
пачкаться,в
переговорить,по
передавать,
передать,
перейти,к
перепоручить,
переходить,к
побеспокоиться,относительно
повернуть,
повернуться,
повести,
повредить,
погибнуть,за
поговорить,о
подвигнуть,на
подвинуть,
подготавливать,
поднатореть,в
поднимать,
поднять,на
поднять,
пожурить,за
пойти,
показать,себя в
показывать,себя в
покончить,
получить,
помнить,о
помогать,
помочь,
понимать,в
понимать,
поправить,
попробовать,в
порассуждать,касательно
порассуждать,о
поручать,
поручить,
посвятить,себя
послужить,во вред
послужить,на пользу
поставить,
поступить,во вред
потерять,в
появиться,
превратить,
предавать,
предать,
предаться,
представить,
представлять,
прекратить,
претворить,в
привести,
пригодиться,в
прийти,по
применить,на
применять,на
применяться,в
применяться,на
принимать,
приниматься,за
принять,
приняться,за
пристраивать,к
приступать,к
приступить,к
приходить,по
проваливать,
провалить,
провалиться,
проведаться,о
проведываться,о
проверить,в
проверить,на
провернуть,
провернуться,
провёртывать,
провёртываться,
проверять,в
проворачиваться,
прогореть,
продвигать,
продвигаться,
продвинуть,
продвинуться,
продолжать,
продолжаться,
продолжить,
произойти,
происходить,
