Verb,Prep
биться,за
болеть,за
болтаться,без
бороться,за
бродить,без
бросить,
быть,
быть,без
быть,в
быть,в курсе
быть,всегда при
быть,при
вбухнуть,в
вдохновить,на
вернуться,к
верховодить,в
вестись,
взяться,за
видеть,в
вложить,в
влюбиться,в
вмазаться,в
вмешаться,в
вмешивать,в
внести,в
вникнуть,в
воевать,за
возвратиться,к
впутать,в
вредить,
вспомнить,о
входить,
выгореть,
выделить,в
вызвать,по
выйти,
высказаться,вроде по
вытанцовываться,
выяснить,
глядеть,на
говорить,
годиться,для
годиться,на
дать,по
дать,
двигаться,
добиться,в
добраться,до
доверять,в
довести,
доделать,
дойти,
доказать,
доказать,на
достигнуть,в
есть,
ехать,по
заботиться,о
забыть,о
завершить,
завести,
зависеть,
завязать,с
заглохнуть,
загробить,
задержать,
задумать,
заикнуться,о
закиснуть,без
закончиться,
закруглить,
замешиваться,в
замотать,
замять,
заняться,
запутать,в
запутаться,
застать,за
застопориться,
затеять,
затормозить,
затягивать,
затянуться,
защищать,
знать,
знать,о
значить,в
идти,в
изложить,
изматывать,
изменить,
изучить,
иметь,
интересоваться,
испортить,
испытать,в
кипеть,
клеиться,
клониться,
конспектировать,по ходу
кончить,с
кончиться,
коснуться,
ладиться,
любить,
маяться,без
меняться,
мешать,
наживаться,на
найтись,
наказать,за
наладить,
настроиться,на
начаться,
обделать,
обернуться,
обратиться,по
обратиться,с
обстоять,
обсудить,
обтяпать,
объясниться,
ограничиться,
окончиться,
организовать,
освоить,
осложняться,
оставить,
остановиться,
остаться,без
осуществиться,на
отбиваться,от
отвечать,за
отвлекаться,от
отдать,
открыть,
отличиться,в
отложить,
отлучить,от
относиться,к
оторваться,от
отразиться,на
отстаиваться,
отстоять,
отстраниться,от
пачкаться,в
передать,
перейти,к
перепоручить,
побеспокоиться,относительно
повернуться,
повести,
повредить,
погибнуть,за
поговорить,о
подвинуть,
подготавливать,
поднять,на
поднять,
пожурить,за
пойти,
показать,себя в
получить,
помнить,о
помочь,
понимать,в
понимать,
поправить,
попробовать,в
поручить,
посвятить,себя
послужить,во вред
послужить,на пользу
поставить,
поступить,во вред
потерять,в
появиться,
превратить,
предаться,
представить,
прекратить,
претворить,в
привести,
пригодиться,в
прийти,по
применить,на
применяться,в
применяться,на
принять,
приняться,за
пристраивать,к
приступить,к
провалиться,
проведаться,о
проверить,в
проверить,на
провернуться,
провёртываться,
проворачиваться,
прогореть,
продвинуться,
продолжаться,
продолжить,
произойти,
прокрутить,
промотаться,без
простаивать,без
протянуть,
проявить,в
проявляться,в
пустить,в
пустить,
путать,в
радеть,о
развалиться,
развиваться,
раздумывать,по поводу
разладиться,
различать,
разобрать,
разобраться,в
разобраться,с
разрастись,
разрешиться,
разуметь,
разъясниться,
расклеиться,
раскрутить,
распутаться,
рассмотреть,
расстроить,
расти,
расчухать,
решаться,на
решить,
решить,касательно
свестись,
сговариваться,о
сдвинуться,
сделаться,
сидеть,без
сидеть,за
склочничать,по
сконцентрироваться,на
скрываться,ради
скучать,без
скучать,по
сладиться,
следовать,в
слоняться,без
служить,
случиться,
смотреть,как на
смыслить,в
соваться,в
совершить,
советоваться,о
советоваться,по поводу
советоваться,только по поводу
содействовать,в
соскучиться,о
соскучиться,по
состоять,
сотрудничать,в
спориться,
справиться,с
сражаться,за
стать,
стоить,
стопорить,
стоять,
стоять,за
суетиться,перед
сутрировать,
считаться,
терпеть,
тормозиться,
тосковать,по
требовать,
требоваться,для
требоваться,на
убить,на
увенчаться,
увидеться,по
увлечься,
удаться,
уйти,на
уладиться,
улучшить,
упираться,
употребить,в
упрямиться,в
ускорить,
устроить,
участвовать,в
учиться,
халтурить,в
ходить,без
хромать,
ценить,в
шириться,
