InfForm,Prep
беспокоиться,относительно
биться,за
болеть,за
болтаться,без
бороться,за
браться,за
бродить,без
бросить,
быть,без
быть,в
быть,в курсе
быть,всегда при
быть,
быть,при
вбухивать,в
вбухнуть,в
вдохновить,на
вдохновлять,на
вернуть,к
вернуться,к
верховодить,в
вести,
взяться,за
видеть,в
вложить,в
влюбиться,в
вмазаться,в
вмазываться,в
вмешаться,в
вмешивать,в
вмешиваться,в
внести,в
вникнуть,в
воевать,за
возвратиться,к
возвращаться,к
впутать,в
вредить,
вспомнить,о
выделить,в
вызвать,по
высказаться,вроде по
выяснить,
глядеть,на
говорить,
говорить,о
годиться,в
годиться,для
годиться,на
гробить,
давать,
дать,по
дать,
двигать,
делать,
добиться,в
добраться,до
доверять,в
довести,
доводить,
доделать,
доделывать,
доказать,
доказать,на
достигнуть,в
ехать,по
заботиться,о
забывать,о
забыть,о
завершать,
завершить,
завести,
заводить,
завязать,с
загробить,
задержать,
задерживать,
задумать,
задумывать,
заикнуться,о
закисать,без
закиснуть,без
закончить,
закруглить,
замаяться,без
замешиваться,в
замотать,
замять,
заниматься,
занять,
заняться,
запутать,в
запутать,
запутывать,
застать,за
застопорить,
затеять,
затормозить,
затягивать,
защищать,
знать,
знать,о
значить,в
идти,в
излагать,
изложить,
изменить,
изменять,
изучать,
изучить,
иметь,
интересоваться,
использовать,в
испортить,
испытать,в
испытывать,в
касаться,
конспектировать,по ходу
концентрировать,на
концентрироваться,на
кончить,
кончить,с
любить,
маяться,без
менять,
мешать,
наживаться,на
наказать,за
наладить,
налаживать,
напортить,
настраиваться,на
настроиться,на
натореть,в
нахимичить,в
начать,
начинать,
отвлекаться,от
относиться,к
отразиться,на
проверить,в
проверить,на
решаться,на
сидеть,без
суетиться,перед
упрямиться,в
обделать,
обмозговать,
оборотить,
обратиться,по
обратиться,с
обращаться,по
обращаться,с
обсудить,
обтяпать,
объяснить,
оканчивать,
окончить,
омертвить,
опростоволоситься,с
организовать,
осваивать,
освоить,
оставаться,без
оставить,
остаться,без
осуществить,на
осуществиться,на
отбиваться,от
отбиться,от
отвечать,за
отдать,
открывать,
открыть,
отличиться,в
отложить,
отлучать,от
отлучить,от
оторвать,от
оторваться,от
отрывать,от
отрываться,от
отстаивать,
отстоять,
отстранить,от
отстраниться,от
отстранять,от
отстраняться,от
пачкаться,в
переговорить,по
передавать,
передать,
перейти,к
перепоручить,
переходить,к
побеспокоиться,относительно
повернуть,
повести,
повредить,
погибнуть,за
поговорить,о
подвигнуть,на
подвинуть,
подготавливать,
поднатореть,в
поднимать,
поднять,на
поднять,
пожурить,за
показать,себя в
показывать,себя в
покончить,
помнить,о
помогать,
помочь,
понимать,в
понимать,
поправить,
попробовать,в
порассуждать,касательно
порассуждать,о
поручать,
поручить,
посвятить,себя
послужить,во вред
послужить,на пользу
поставить,
поступить,во вред
потерять,в
превратить,
предавать,
предать,
предаться,
представить,
представлять,
прекратить,
претворить,в
привести,
пригодиться,в
прийти,по
применить,на
применять,на
применяться,в
применяться,на
принимать,
приниматься,за
принять,
приняться,за
пристраивать,к
приступать,к
приступить,к
приходить,по
проваливать,
провалить,
проведаться,о
проведываться,о
провернуть,
провёртывать,
проверять,в
продвигать,
продвинуть,
продолжать,
продолжить,
прокрутить,
промотаться,без
простаивать,без
протянуть,
прошляпить,
проявить,в
проявлять,в
проявляться,в
пускать,в
пустить,в
пустить,
путать,в
радеть,о
разбираться,в
разбираться,с
разваливать,
развалить,
раздумывать,по поводу
разладить,
разлаживать,
различать,
разобрать,
разобраться,в
разобраться,с
разуметь,
раскрутить,
распутать,
распутывать,
рассматривать,
рассмотреть,
расстраивать,
расстроить,
расходиться,с
расчухать,
решать,
решить,
решить,касательно
сговариваться,о
сдвигать,
сдвинуть,
сделать,
сидеть,за
склочничать,по
сконцентрировать,на
сконцентрироваться,на
скрываться,ради
скучать,без
скучать,по
сладить,
следовать,в
слоняться,без
служить,
смотреть,как на
смыслить,в
соваться,в
совершать,
совершить,
советоваться,о
советоваться,по поводу
советоваться,только по поводу
содействовать,в
соскучиться,о
соскучиться,по
сотрудничать,в
справиться,с
справляться,с
сражаться,за
сродниться,с
становиться,
стать,
стопорить,
стоять,за
сутрировать,
считать,
считаться,
тормозить,
тосковать,по
требоваться,для
требоваться,на
убить,на
увидеться,по
увлекаться,
увлечь,
увлечься,
угробить,
уйти,на
уладить,
улаживать,
улучшить,
употребить,в
ускорить,
устраивать,
устроить,
утрировать,
участвовать,в
учить,
учиться,
халтурить,в
ходить,без
ценить,в
