Verb,Prep
быть,
есть,
вести,
входить,
выгорать,
выхаживать,
двигать,
доходить,
зависеть,
глохнуть,
заканчивать,
запутывать,
застопоривать,
затягивать,
идти,
изматывать,
иметь,
интересовать,
касать,
кипеть,
клонить,
кончать,
ладить,
менять,
находить,
начинать,
вытанцовывать,
заладить,
клеить,
терпеть,
обертывать,
обстоять,
объяснять,
ограничивать,
оканчивать,
осложнять,
останавливать,
отстаивать,
пахнуть,
повертывать,
получать,
появлять,
принимать,
проваливать,
провертывать,
провёртывать,
проворачивать,
прогорать,
продвигать,
продолжать,
происходить,
разваливать,
развивать,
разлаживать,
разрастать,
разрешать,
разъяснять,
расклеивать,
распутывать,
расти,
сводить,
сдвигать,
делать,
слаживать,
случать,
состоять,
спорить,
становиться,
стоять,
стоить,
стронуть,
тормозить,
требовать,
венчать,
удавать,
улаживать,
упирать,
хромать,
ширить,
беспокоить,относительно
бить,за
болеть,за
болтать,без
бороть,за
брать,за
бродить,без
бросать,
быть,без
быть,в
быть,в курсе
быть,всегда переть
быть,переть
вбухивать,в
вдохновлять,на
возвращать,к
верховодить,в
видеть,в
вкладывать,в
влюблять,в
вмазывать,в
вмешивать,в
вносить,в
вникать,в
воевать,за
впутывать,в
вредить,
вспоминать,о
выделять,в
вызывать,по
высказывать,вроде по
выяснять,
глядеть,на
говорить,
говорить,о
годить,в
годить,для
годить,на
гробить,
давать,
давать,по
добивать,в
добирать,до
доверять,в
доводить,
доделывать,
доказывать,
доказывать,на
достигать,в
ехать,по
заботить,о
забывать,о
завершать,
заводить,
завязывать,с
задерживать,
задумывать,
заикать,о
закисать,без
закруглять,
замаять,без
замешивать,в
заматывать,
заминать,
занимать,
запутывать,в
заставать,за
затевать,
затормаживать,
защищать,
знать,
знать,о
значить,в
идти,в
излагать,
изменять,
изучать,
использовать,в
портить,
испытывать,в
конспектировать,по ходу
концентрировать,на
кончать,с
любить,
маять,без
мешать,
наживать,на
наказывать,за
налаживать,
напортить,
настраивать,на
натореть,в
нахимичить,в
отвлекать,от
относить,к
отражать,на
проверять,в
проверять,на
решать,на
сидеть,без
суетить,перед
упрямить,в
обделывать,
обмозговать,
оборачивать,
обращать,по
обращать,с
обсуждать,
обтяпывать,
омертвить,
опростоволосить,с
организовывать,
осваивать,
оставать,без
оставлять,
осуществлять,на
отбивать,от
отвечать,за
отдавать,
открывать,
отличать,в
откладывать,
отлучать,от
отрывать,от
отстранять,от
пачкать,в
переговорить,по
передавать,
переходить,к
перепоручать,
повреждать,
гибнуть,за
подвигнуть,на
подвигать,
подготавливать,
поднатореть,в
поднимать,
поднимать,на
журить,за
показывать,себя в
покончить,
помнить,о
помогать,
понимать,в
понимать,
поправлять,
пробовать,в
порассуждать,касательно
порассуждать,о
поручать,
посвящать,себя
служить,во вред
служить,на пользу
поставлять,
поступать,во вред
терять,в
превращать,
предавать,
представлять,
прекращать,
претворять,в
приводить,
приходить,по
применять,на
применять,в
принимать,за
пристраивать,к
приступать,к
проведывать,о
прокручивать,
проматывать,без
простаивать,без
протягивать,
прошляпить,
проявлять,в
пускать,в
пускать,
путать,в
радеть,о
разбирать,в
разбирать,с
раздумывать,по поводу
различать,
разбирать,
разуметь,
крутить,
рассматривать,
расстраивать,
расходить,с
расчухивать,
решать,
решать,касательно
сговаривать,о
сидеть,за
склочничать,по
скрывать,ради
скучать,без
скучать,по
следовать,в
слонять,без
служить,
смотреть,как на
смыслить,в
совать,в
совершать,
советовать,о
советовать,по поводу
советовать,только по поводу
содействовать,в
соскучивать,о
соскучивать,по
сотрудничать,в
справлять,с
сражать,за
роднить,с
становить,
стопорить,
стоять,за
утрировать,
считывать,
тосковать,по
требовать,для
требовать,на
убивать,на
видеть,по
увлекать,
угробить,
уходить,на
улучшать,
употреблять,в
ускорять,
устраивать,
участвовать,в
учить,
халтурить,в
ходить,без
ценить,в
