InfForm,Prep
балансировать,между
беречь,
быть,
быть,в
вести,
влезть,в
водить,
возникнуть,
возобновить,
возобновиться,
вступать,в
вступить,в
гордиться,
дарить,в знак
дарить,
дать,взамен
договориться,по
жертвовать,во имя
жертвовать,для
жертвовать,
жить,в
жить,под сенью
забывать,о
забыть,о
заверить,в
заверять,в
завязать,
завязывать,
завязываться,
закрепить,
зиждиться,на основе
играть,в
извериться,в
иметь,
искать,
клясться,в
крепить,
крепнуть,
лезть,в
навязать,
навязывать,
навязываться,
навязываться,в
находиться,в
начаться,
оборвать,
объединить,по принципу
окружить,
оставить,ради
остаться,в
ответить,
ответить,на
откреститься,от
открещиваться,от
отразиться,на
охладить,
перерасти,
подарить,в знак
поддерживать,
поддерживаться,
пожертвовать,во имя
пожертвовать,
поклясться,в
понадеяться,на
потерять,
появиться,
предложить,взамен
прекратить,
прекратиться,
прекращать,
пренебрегать,
преодолеть,благодаря
прервать,
прерваться,
претендовать,на
признаться,в
принуждать,к
развивать,
разорвать,
разочароваться,в
разрушать,
разрушаться,
разрушить,
разувериться,в
распасться,
рисковать,
свести,
связывать,
скрепить,
скрываться,ради
снискать,
снискивать,
состоять,в
сохранить,
сохранять,
спекулировать,на
стоять,за
углублять,
углубляться,
укрепить,
укрепиться,
укреплять,
укрепляться,
царить,
ценить,
