Verb,Prep
балансировать,между
беречь,
быть,в
вести,
влезть,в
водить,
возобновить,
вступать,в
вступить,в
гордиться,
дарить,в знак
дарить,
дать,взамен
договориться,по
жертвовать,во имя
жертвовать,для
жертвовать,
жить,в
жить,под сенью
забывать,о
забыть,о
заверить,в
заверять,в
завязать,
завязывать,
закрепить,
зиждиться,на основе
играть,в
извериться,в
иметь,
искать,
клясться,в
крепить,
лезть,в
навязать,
навязывать,
навязываться,в
находиться,в
оборвать,
объединить,по принципу
окружить,
оставить,ради
остаться,в
ответить,
ответить,на
откреститься,от
открещиваться,от
отразиться,на
охладить,
подарить,в знак
поддерживать,
пожертвовать,во имя
пожертвовать,
поклясться,в
понадеяться,на
потерять,
предложить,взамен
прекратить,
прекращать,
пренебрегать,
преодолеть,благодаря
прервать,
претендовать,на
признаться,в
принуждать,к
развивать,
разорвать,
разочароваться,в
разрушать,
разрушить,
разувериться,в
рисковать,
свести,
скрепить,
скрываться,ради
снискать,
снискивать,
состоять,в
сохранить,
сохранять,
спекулировать,на
стоять,за
углублять,
укрепить,
укреплять,
ценить,
