Verb,Prep
быть,
возникать,
возобновлять,
завязывать,
крепнуть,
навязывать,
начинать,
перерастать,
поддерживать,
появлять,
прекращать,
прерывать,
разрушать,
распадать,
связывать,
углублять,
крепить,
укреплять,
царить,
балансировать,между
беречь,
быть,в
вести,
влезать,в
водить,
вступать,в
гордить,
дарить,в знак
дарить,
давать,взамен
договаривать,по
жертвовать,во имя
жертвовать,для
жертвовать,
жить,в
жить,под сенью
забывать,о
заверять,в
закреплять,
зиждить,на основе
играть,в
изверить,в
иметь,
искать,
клясть,в
лезть,в
навязывать,в
находить,в
обрывать,
объединять,по принципу
окружать,
оставлять,ради
оставать,в
отвечать,
отвечать,на
открещивать,от
отражать,на
охлаждать,
надеять,на
терять,
предлагать,взамен
пренебрегать,
преодолевать,благодаря
претендовать,на
признавать,в
принуждать,к
развивать,
разрывать,
разочаровывать,в
разуверять,в
рисковать,
сводить,
скреплять,
скрывать,ради
снискивать,
состоять,в
сохранять,
спекулировать,на
стоять,за
ценить,
