Verb,Prep
биться,над
брать,на себя
быть,
взять,
видеть,
возлагать,
возлагаться,
возложить,
возникать,
возникнуть,
врубаться,в
врубиться,в
вставать,
встать,
входить,в
выдвигать,
выдвинуть,
выделить,
выполнить,
выполнять,
выполняться,
делать,
думать,над
есть,
ждать,
задавать,
задать,
заключаться,
замучиться,над
затруднять,
знакомиться,с
идти,за
иметь,
иметься,
мозговать,над
мудровать,над
мучаться,над
мучиться,над
навязать,
навязывать,
наметить,
намечать,
облегчать,
облегчить,
образовывать,
объяснить,
объяснять,
ознакомиться,с
оповестить,о
оповещать,о
определить,
осложнить,
осложниться,
осложнять,
осуществить,
осуществлять,
отвечать,
париться,над
пасовать,перед
переписать,
переписывать,
подготовить,в точности как под
подготовить,под
познакомиться,с
получаться,
понимать,под
понимать,
понять,
попотеть,над
поставить,
потеть,над
пояснить,
пояснять,
предложить,
преследовать,
проверить,
прочитать,
пыхтеть,над
разбираться,в
разобрать,
разобраться,в
разрешать,
разрешить,
разъяснить,
разъяснять,
расколоть,
раскрыть,
рассматривать,
рассматриваться,
растолковать,
реализовать,
решать,
решаться,
решить,
свалить,
свести,
сводиться,
сделать,
сидеть,над
составлять,
состоять,
спасовать,перед
справиться,с
справляться,с
ставить,
ставиться,
стоить,
стоять,
стоять,перед
существовать,
сформулировать,
считать,
требоваться,в
трудиться,над
углубиться,в
упростить,
упроститься,
упрощать,
усложнить,
усложниться,
усложнять,
усложняться,
утяжелить,
утяжелять,
формулировать,
являться,
