Verb,Prep
биться,над
брать,на себя
быть,
взять,
видеть,
возлагаться,
возложить,
возникнуть,
врубиться,в
встать,
входить,в
выдвинуть,
выделить,
выполнить,
выполняться,
думать,над
есть,
ждать,
задать,
заключаться,
замучиться,над
затруднять,
идти,за
иметь,
иметься,
мозговать,над
мудровать,над
навязать,
наметить,
облегчить,
образовывать,
объяснить,
ознакомиться,с
оповестить,о
определить,
осложнить,
осложниться,
осуществить,
отвечать,
париться,над
переписать,
подготовить,в точности как под
подготовить,под
познакомиться,с
получаться,
понимать,под
понимать,
понять,
поставить,
потеть,над
пояснить,
предложить,
преследовать,
проверить,
прочитать,
пыхтеть,над
разобрать,
разобраться,в
разрешить,
разъяснить,
расколоть,
раскрыть,
рассматривать,
рассматриваться,
растолковать,
реализовать,
решаться,
решить,
свалить,
свести,
сводиться,
сделать,
сидеть,над
составлять,
состоять,
спасовать,перед
справиться,с
ставить,
ставиться,
стоить,
стоять,
стоять,перед
существовать,
сформулировать,
считать,
требоваться,в
трудиться,над
углубиться,в
упростить,
упроститься,
упрощать,
усложнить,
усложниться,
утяжелить,
являться,
