Verb,Prep
биться,над
брать,на себя
взять,
видеть,
возлагать,
возложить,
врубаться,в
врубиться,в
входить,в
выдвигать,
выдвинуть,
выделить,
выполнить,
выполнять,
делать,
думать,над
задавать,
задать,
замучиться,над
знакомиться,с
идти,за
иметь,
мозговать,над
мудровать,над
мучаться,над
мучиться,над
навязать,
навязывать,
наметить,
намечать,
затруднять,
усложнить,
усложнять,
облегчать,
облегчить,
образовывать,
объяснить,
объяснять,
ознакомиться,с
оповестить,о
оповещать,о
определить,
осложнить,
осложнять,
осуществить,
осуществлять,
отвечать,
париться,над
пасовать,перед
переписать,
переписывать,
подготовить,в точности как под
подготовить,под
познакомиться,с
понимать,под
понимать,
понять,
попотеть,над
поставить,
потеть,над
пояснить,
пояснять,
предложить,
преследовать,
проверить,
прочитать,
пыхтеть,над
разбираться,в
разобрать,
разобраться,в
разрешать,
разрешить,
разъяснить,
разъяснять,
расколоть,
раскрыть,
рассматривать,
растолковать,
реализовать,
решать,
решить,
свалить,
свести,
сделать,
сидеть,над
составлять,
спасовать,перед
справиться,с
справляться,с
ставить,
стоять,перед
сформулировать,
считать,
требоваться,в
трудиться,над
углубиться,в
упростить,
упрощать,
утяжелить,
утяжелять,
формулировать,
являться,
