Verb,Prep
быть,
есть,
возлагать,
возникать,
вставать,
выполнять,
ждать,
заключать,
иметь,
осложнять,
получать,
рассматривать,
решать,
сводить,
состоять,
ставить,
стоять,
стоить,
существовать,
прощать,
усложнять,
бить,над
брать,на себя
брать,
видеть,
врубать,в
входить,в
выдвигать,
выделять,
делать,
думать,над
задавать,
замучивать,над
знакомить,с
идти,за
мозговать,над
мудровать,над
мучать,над
мучить,над
навязывать,
намечать,
затруднять,
облегчать,
образовывать,
объяснять,
ознакамливать,с
оповещать,о
определять,
осуществлять,
отвечать,
парить,над
пасовать,перед
переписывать,
готовить,в точности как под
готовить,под
понимать,под
понимать,
давать,
попотеть,над
поставлять,
потеть,над
пояснять,
предлагать,
преследовать,
проверять,
прочитывать,
пыхтеть,над
разбирать,в
разбирать,
разрешать,
разъяснять,
раскалывать,
раскрывать,
растолковывать,
реализовывать,
валить,
сидеть,над
составлять,
справлять,с
стоять,перед
формулировать,
считывать,
требовать,в
трудить,над
углублять,в
простить,
упрощать,
утяжелять,
являть,
