InfForm,Prep
безумствовать,по поводу
беречь,
беречь,в ущерб
беспокоиться,за
беспокоиться,насчет
беспокоиться,о
беспокоиться,относительно
бояться,за
браться,за
быть,
вверять,
вернуть,
вернуться,
вернуться,к вопросу о
взяться,за
видать,
влиять,на
возвратить,
возвратиться,
возвращаться,к вопросу о
волноваться,за
волноваться,о
волноваться,по причине
восстанавливать,
восстановить,
восстановиться,
вредить,
встревожиться,по поводу
выпить,за
гарантировать,
гордиться,
гробить,
губить,
двигаться,в направлении
действовать,во вред
доверять,в вопросах
дорожить,
думать,о
дышать,
есть,
жаловаться,на
желать,
жертвовать,
заботиться,о
завидовать,по поводу
загробить,
закаливать,
закалить,
закалиться,
закалять,
звонить,о
идти,во вред
иметь,
искриться,
использовать,на благо
испортить,
истощать,
касаться,
клеиться,со
консультироваться,в вопросе касаемо
консультироваться,в части
консультироваться,о
крепнуть,
курить,в ущерб
набираться,
наблюдать,за
набраться,
наделить,
надломить,
надломиться,
надорвать,
надрывать,
наслаждаться,
обеспечивать,
обладать,
обрести,
обретать,
обсуждать,
обсуждать,о
озаботиться,о
опасаться,за
ориентироваться,в вопросах
ослабить,
ослаблять,
отбавить,
отбавиться,
отзываться,на
отличаться,
относиться,к
отозваться,на
отражаться,на
отразиться,на
охранять,
писать,о
пить,за
плошать,
поберечь,
повлиять,на
повредить,
подарить,
поддерживать,
подкачать,
поднабрать,
поднабраться,
подорвать,
подорваться,
подпортить,
подправить,
подправлять,
подрывать,
подрываться,
подточить,
пожертвовать,
позаботиться,о
позволять,
поинтересоваться,
поинтересоваться,о
полюбопытствовать,о
помочь,в вопросах по
поплатиться,
поправить,
поправиться,
поправлять,
портить,
портиться,
поступать,во вред
потерять,
пошатнуть,
пошатнуться,
практиковаться,в вопросах
пренебрегать,
приобрести,
приобретаться,
проведаться,о
проведываться,о
проверить,
проверять,
проконсультироваться,в вопросе касаемо
проконсультироваться,в части
проконсультироваться,о
пустозвонить,о
пыхать,
работать,в ущерб
радовать,
радоваться,
разговаривать,по поводу
разрушать,
разрушаться,
разрушить,
расстраивать,
расстраиваться,
расстроить,
расстроиться,
растратить,
растрачивать,
растрачиваться,
расшатать,
расшататься,
расшатывать,
расшатываться,
рисковать,
сберечь,
сказаться,на
сказываться,на
слабеть,
следить,за
сомневаться,в вопросах со
сомневаться,относительно
сохранить,
сохраниться,
сохранять,
сохраняться,
сочетаться,
сочетаться,со
способствовать,
справиться,о
справиться,про
справляться,о
справляться,про
спрашивать,о
спросить,о
считать,
терять,
теряться,
тратить,
трудиться,в ущерб
уберечь,
угрожать,
уделить,внимание
уделять,внимание
удивлять,несмотря на
удостовериться,в
удостоверяться,в
узнать,о
укрепить,
укрепиться,
укреплять,
укрепляться,
улучшать,
улучшить,
улучшиться,
утратить,
утрачивать,
ухудшиться,
халтурить,в отношении
хвалиться,
худеть,в ущерб
цвести,
шалить,
шутить,
экономить,в ущерб
экспериментировать,со
являться,
