Verb,Prep
безумствовать,по поводу
беречь,в ущерб
беспокоиться,за
беспокоиться,насчет
беспокоиться,о
беспокоиться,относительно
бояться,за
быть,
вверять,
вернуть,
вернуться,
вернуться,к вопросу о
взяться,за
видать,
возвратить,
возвратиться,
волноваться,за
волноваться,о
волноваться,по причине
восстановить,
восстановиться,
вредить,
встревожиться,по поводу
выпить,за
гордиться,
губить,
двигаться,в направлении
действовать,во вред
доверять,в вопросах
дорожить,
думать,о
дышать,
есть,
жаловаться,на
желать,
завидовать,по поводу
загробить,
закалить,
закалиться,
закалять,
звонить,о
идти,во вред
иметь,
искриться,
испортить,
касаться,
клеиться,со
крепнуть,
курить,в ущерб
наблюдать,за
набраться,
наделить,
надорвать,
наслаждаться,
обеспечивать,
обладать,
обрести,
обсуждать,
обсуждать,о
озаботиться,о
опасаться,за
ориентироваться,в вопросах
ослабить,
отбавить,
отзываться,на
отличаться,
относиться,к
отразиться,на
охранять,
писать,о
пить,за
плошать,
повлиять,на
повредить,
подарить,
поддерживать,
подкачать,
поднабрать,
поднабраться,
подорвать,
подорваться,
подправить,
подточить,
пожертвовать,
позаботиться,о
позволять,
полюбопытствовать,о
помочь,в вопросах по
поправить,
поправиться,
портиться,
поступать,во вред
потерять,
практиковаться,в вопросах
пренебрегать,
приобрести,
приобретаться,
проведаться,о
проверить,
проконсультироваться,в вопросе касаемо
проконсультироваться,в части
проконсультироваться,о
пустозвонить,о
пыхать,
работать,в ущерб
радовать,
радоваться,
разговаривать,по поводу
разрушаться,
разрушить,
расстроить,
расстроиться,
растратить,
расшатать,
расшататься,
рисковать,
сберечь,
сказаться,на
слабеть,
следить,за
сомневаться,в вопросах со
сомневаться,относительно
сохранить,
сохраниться,
сочетаться,
сочетаться,со
способствовать,
справиться,о
справиться,про
спросить,о
считать,
теряться,
тратить,
трудиться,в ущерб
уберечь,
угрожать,
уделить,внимание
удивлять,несмотря на
удостовериться,в
узнать,о
укрепить,
укрепиться,
укреплять,
улучшить,
улучшиться,
утратить,
ухудшиться,
халтурить,в отношении
хвалиться,
худеть,в ущерб
цвести,
шалить,
шутить,
экономить,в ущерб
экспериментировать,со
являться,
