InfForm,Prep
безумствовать,по поводу
беречь,
беспокоиться,за
беспокоиться,насчет
беспокоиться,о
беспокоиться,относительно
бояться,за
браться,за
вверять,
вернуть,
вернуться,к вопросу о
взяться,за
влиять,на
возвратить,
возвращаться,к вопросу о
волноваться,за
волноваться,о
волноваться,по причине
восстанавливать,
восстановить,
вредить,
встревожиться,по поводу
выпить,за
гордиться,
гробить,
губить,
двигаться,в направлении
действовать,во вред
доверять,в вопросах
дорожить,
думать,о
дышать,
жаловаться,на
желать,
жертвовать,
заботиться,о
завидовать,по поводу
загробить,
закаливать,
закалить,
закалять,
звонить,о
идти,во вред
иметь,
искриться,
использовать,на благо
испортить,
истощать,
касаться,
консультироваться,в вопросе касаемо
консультироваться,в части
консультироваться,о
курить,в ущерб
набираться,
наблюдать,за
набраться,
наделить,
надломить,
надорвать,
надрывать,
наслаждаться,
беречь,в ущерб
видать,
гарантировать,
клеиться,со
опасаться,за
ориентироваться,в вопросах
отразиться,на
повредить,
проверить,
проверять,
разговаривать,по поводу
сказаться,на
сказываться,на
экспериментировать,со
обеспечивать,
обладать,
обрести,
обретать,
обсуждать,
обсуждать,о
озаботиться,о
ослабить,
ослаблять,
отбавить,
отбавиться,
отзываться,на
отличаться,
относиться,к
отозваться,на
отражаться,на
охранять,
писать,о
пить,за
поберечь,
повлиять,на
подарить,
поддерживать,
поднабрать,
поднабраться,
подорвать,
подпортить,
подправить,
подправлять,
подрывать,
подточить,
пожертвовать,
позаботиться,о
поинтересоваться,
поинтересоваться,о
полюбопытствовать,о
помочь,в вопросах по
поплатиться,
поправить,
поправлять,
портить,
поступать,во вред
потерять,
пошатнуть,
практиковаться,в вопросах
пренебрегать,
приобрести,
проведаться,о
проведываться,о
проконсультироваться,в вопросе касаемо
проконсультироваться,в части
проконсультироваться,о
пустозвонить,о
пыхать,
работать,в ущерб
радовать,
радоваться,
разрушать,
разрушить,
расстраивать,
расстроить,
растратить,
растрачивать,
расшатать,
расшатывать,
рисковать,
сберечь,
следить,за
сомневаться,в вопросах со
сомневаться,относительно
сохранить,
сохранять,
сочетаться,со
способствовать,
справиться,о
справиться,про
справляться,о
справляться,про
спрашивать,о
спросить,о
считать,
терять,
тратить,
трудиться,в ущерб
уберечь,
угрожать,
уделить,внимание
уделять,внимание
удивлять,несмотря на
удостовериться,в
удостоверяться,в
узнать,о
укрепить,
укреплять,
улучшать,
улучшить,
утратить,
утрачивать,
халтурить,в отношении
хвалиться,
худеть,в ущерб
цвести,
шутить,
экономить,в ущерб
