Verb,Prep
быть,
есть,
возвращать,
восстанавливать,
закаливать,
крепнуть,
надломить,
гарантировать,
приобретать,
плошать,
подкачивать,
подрывать,
позволять,
поправлять,
портить,
пошатнуть,
радовать,
разрушать,
расстраивать,
растрачивать,
расшатывать,
слабеть,
сохранять,
сочетать,
терять,
крепить,
укреплять,
улучшать,
ухудшать,
шалить,
являть,
безумствовать,по поводу
беречь,
беспокоить,за
беспокоить,насчет
беспокоить,о
беспокоить,относительно
боять,за
брать,за
вверять,
возвращать,к вопросу о
влиять,на
волновать,за
волновать,о
волновать,по причине
вредить,
встревоживать,по поводу
выпивать,за
гордить,
гробить,
губить,
двигать,в направлении
действовать,во вред
доверять,в вопросах
дорожить,
думать,о
дышать,
жаловать,на
желать,
жертвовать,
заботить,о
завидовать,по поводу
закалять,
звонить,о
идти,во вред
иметь,
искрить,
использовать,на благо
истощать,
касать,
консультировать,в вопросе касаемо
консультировать,в частить
консультировать,о
курить,в ущерб
набирать,
наблюдать,за
наделять,
надрывать,
наслаждать,
беречь,в ущерб
видать,
клеить,со
опасать,за
ориентировать,в вопросах
отражать,на
повреждать,
проверять,
разговаривать,по поводу
говорить,на
сказывать,на
экспериментировать,со
обеспечивать,
обладать,
обретать,
обсуждать,
обсуждать,о
ослаблять,
отбавлять,
отзывать,на
отличать,
относить,к
отозвать,на
охранять,
писать,о
пить,за
дарить,
поддерживать,
поднабирать,
подпортить,
подправлять,
подтачивать,
поинтересовать,
поинтересовать,о
любопытствовать,о
помогать,в вопросах по
поплатить,
поступать,во вред
практиковать,в вопросах
пренебрегать,
проведывать,о
пустозвонить,о
пыхать,
работать,в ущерб
рисковать,
следить,за
сомневать,в вопросах со
сомневать,относительно
сочетать,со
способствовать,
справлять,о
справлять,про
спрашивать,о
считывать,
тратить,
трудить,в ущерб
угрожать,
уделять,внимание
удивлять,несмотря на
удостоверять,в
знать,о
утрачивать,
халтурить,в отношении
хвалить,
худеть,в ущерб
цвести,
шутить,
экономить,в ущерб
