Verb,Prep
быть,
вдуматься,в
вникнуть,в
возвращать,
возрасти,
выдать,
вычислить,
выяснить,
дать,
думать,над
есть,
зависеть,от
изменить,
изменяться,
иметься,
искать,по
истолковать,
наделиться,
настаивать,на
нести,
носить,
обсуждаться,
объяснить,
объясняться,
описать,
определить,
определяться,
оценить,
перетолмачить,
повысить,
полюбопытствовать,касательно
понимать,
понять,
появиться,
представлять,
представлять,собой
принадлежать,
разъясняться,
раскрываться,
раскрыть,
расти,
расширяться,
реализоваться,в контексте со
соответствовать,по
соответствовать,
сохранить,
справиться,о
сужаться,
суживаться,
сузить,
существовать,
толковать,
трактовать,в соответствии с
узнать,о
указать,
указать,на
уменьшиться,
упорядочить,по
употребить,в
уразуметь,
установить,
уяснить,
