Verb,Prep
абстрагировать,
вдуматься,в
вникнуть,в
возвращать,
выдавать,
выдать,
вычислить,
вычислять,
выяснить,
выяснять,
давать,
дать,
думать,над
зависеть,от
изменить,
изменять,
иметь,
искать,по
истолковать,
наделиться,
наделяться,
настаивать,на
нести,
носить,
обсуждать,
объяснить,
объяснять,
описать,
определить,
определять,
оценивать,
оценить,
перетолмачить,
повысить,
повышать,
полюбопытствовать,касательно
понимать,
понять,
представлять,
представлять,собой
раскрывать,
раскрыть,
реализоваться,в контексте со
соответствовать,по
соответствовать,
сохранить,
справиться,о
справляться,о
сузить,
толковать,
трактовать,в соответствии с
узнать,о
указать,
указать,на
указывать,
указывать,на
упорядочивать,по
упорядочить,по
употребить,в
употреблять,в
уразумевать,
уразуметь,
установить,
уяснить,
уяснять,
