Verb,Prep
быть,
есть,
возрастать,
изменять,
иметь,
обсуждать,
объяснять,
определять,
появлять,
принадлежать,
разъяснять,
раскрывать,
расти,
расширять,
сужать,
суживать,
существовать,
уменьшать,
абстрагировать,
вдумывать,в
вникать,в
возвращать,
выдавать,
вычислять,
выяснять,
давать,
думать,над
зависеть,от
искать,по
истолковывать,
наделять,
настаивать,на
нести,
носить,
описывать,
оценивать,
перетолмачить,
повышать,
любопытствовать,касательно
понимать,
представлять,
представлять,собой
реализовывать,в контексте со
соответствовать,по
соответствовать,
сохранять,
справлять,о
толковать,
трактовать,в соответствии с
знать,о
указывать,
указывать,на
упорядочивать,по
употреблять,в
уразумевать,
устанавливать,
уяснять,
