Verb,Prep
бороться,за
быть,
вдохновиться,
вдохновляться,
верить,в
витать,
возникать,
возникнуть,
возобладать,
возражать,против
воодушевиться,
воодушевляться,
воплотить,
воплощать,
воспринимать,
восприниматься,
воспринять,
входить,в противоречие к
входить,в противоречие с
выдвигать,
выдвигаться,
выдвинуть,
выдумать,
выкристаллизоваться,
выносить,
вырабатывать,
выработать,
выражать,
выразить,
высказать,
высказывать,
высказываться,
выступать,против
выступать,с
выступить,против
выступить,с
выхолащиваться,
выхолоститься,
гнездиться,
давать,
двигать,
доминировать,
думать,над
есть,
заблуждаться,насчет
загореться,
задаваться,
задаться,
задуматься,над
задумываться,над
заинтересовать,
заинтересоваться,
заключаться,
заложить,
запомнить,благодаря
запомниться,благодаря
зародиться,
захватить,
защищать,
защищаться,
игнорировать,
игнорироваться,
извратить,
изгадить,
изгнать,
излагать,
излагаться,
изложить,
иметь,
иметься,
испоганивать,
испоганить,
исходить,
касаться,
кристаллизоваться,
критиковать,
критиковаться,
лежать,
лоббировать,
лоббироваться,
мелькать,
мелькнуть,
навязывать,
нападать,на
натолкнуть,на
натолкнуться,на
носиться,
носиться,с
нравиться,
нюансировать,
обмозговать,
обратиться,с
обращаться,с
обсуждать,
обсуждаться,
объединить,
объединить,под флагом
объединять,
одобрить,
одобрять,
одушевиться,
ознакомить,с
ознакомиться,с
организовать,в свете
осенить,
остаться,
осуществить,
осуществлять,
отбрасывать,
отбросить,
отвергать,
отвергнуть,
отказаться,от
отнестись,к
относиться,к
отражать,
отразить,
отреагировать,на
отринуть,
отрицать,
отстаивать,
отстаиваться,
отшлифовать,
оценивать,
оценить,
перевоплотить,
перевоплощать,
передать,
победить,
подавать,
подать,
подбросить,
подвести,к
подводить,к
поддержать,
поддерживать,
поделиться,
познакомить,с
познакомиться,с
понимать,
понравиться,
понять,
попиариться,с помощью
попрать,
популяризировать,
посетить,
постулировать,
появиться,
появляться,
превалировать,
предвосхитить,
предлагаться,
предложить,
преподнести,
преподносить,
преподноситься,
преследовать,
претворить,
придерживаться,
прийти,
применить,
принадлежать,
принимать,
приниматься,
принять,
проблематизировать,
провести,
проводить,
продумываться,
происходить,на основе
происходить,только на основе
проклюнуться,
промелькнуть,
пропагандировать,
просматриваться,
протаскивать,
протащить,
развивать,
развиваться,
развить,
разрабатывать,
разработать,
разъяснить,
разъяснять,
разъясняться,
распопуляризировать,
распропагандировать,в пользу
распространиться,
распространяться,
рассматривать,
рассмотреть,
реагировать,на
реализовать,
реализоваться,
родиться,
руководствоваться,
служить,
слямзить,
соваться,с
совершаться,на основе
согласиться,с
соглашаться,с
содержать,
состоять,
сохраниться,
сунуться,с
существовать,
сформулировать,
сформулироваться,
толкнуть,
увлекать,
увлекаться,
увлечь,
увлечься,
угнездиться,
удовлетвориться,
удовлетворять,
ужасаться,от
утверждать,
формироваться,
формулировать,
формулироваться,
ценить,
