Verb,Prep
бороться,за
быть,
вдохновиться,
верить,в
витать,
возникнуть,
возобладать,
возражать,против
воодушевиться,
воплотить,
восприниматься,
воспринять,
входить,в противоречие к
входить,в противоречие с
выдвигаться,
выдвинуть,
выдумать,
выкристаллизоваться,
выносить,
выработать,
выразить,
высказать,
высказываться,
выступить,против
выступить,с
выхолоститься,
двигать,
доминировать,
думать,над
есть,
заблуждаться,насчет
загореться,
задаться,
задуматься,над
заинтересоваться,
заключаться,
заложить,
запомниться,благодаря
зародиться,
захватить,
защищаться,
игнорироваться,
извратить,
изгнать,
излагаться,
изложить,
иметься,
испоганить,
касаться,
критиковаться,
лежать,
мелькнуть,
навязывать,
натолкнуться,на
носиться,
носиться,с
обратиться,с
обсуждаться,
объединить,
объединить,под флагом
одобрить,
одушевиться,
ознакомиться,с
организовать,в свете
осенить,
остаться,
осуществить,
отбросить,
отвергнуть,
отказаться,от
отнестись,к
отразить,
отреагировать,на
отрицать,
отстаиваться,
отшлифовать,
оценить,
перевоплотить,
передать,
победить,
подать,
подбросить,
подвести,к
поддержать,
поделиться,
познакомиться,с
понимать,
понравиться,
понять,
попиариться,с помощью
попрать,
посетить,
появиться,
превалировать,
предвосхитить,
предлагаться,
предложить,
преподнести,
преподноситься,
преследовать,
претворить,
придерживаться,
прийти,
применить,
принадлежать,
приниматься,
принять,
провести,
проводить,
продумываться,
происходить,на основе
происходить,только на основе
пропагандировать,
просматриваться,
протащить,
развиваться,
развить,
разработать,
разъяснить,
разъясняться,
распопуляризировать,
распропагандировать,в пользу
распространиться,
рассмотреть,
реализоваться,
родиться,
руководствоваться,
служить,
совершаться,на основе
согласиться,с
содержать,
состоять,
сохраниться,
сунуться,с
существовать,
сформулироваться,
толкнуть,
увлечься,
угнездиться,
удовлетвориться,
удовлетворять,
ужасаться,от
утверждать,
формироваться,
ценить,
