InfForm,Prep
бороться,за
вдохновиться,
вдохновляться,
верить,в
возражать,против
воодушевиться,
воодушевляться,
воплотить,
воплощать,
воспринимать,
воспринять,
входить,в противоречие к
входить,в противоречие с
выдвигать,
выдвинуть,
выдумать,
выносить,
вырабатывать,
выработать,
выражать,
выразить,
высказать,
высказывать,
выступать,против
выступать,с
выступить,против
выступить,с
давать,
думать,над
заблуждаться,насчет
загореться,
задаваться,
задаться,
задуматься,над
задумываться,над
заинтересовать,
заинтересоваться,
заложить,
запомнить,благодаря
запомниться,благодаря
защищать,
извратить,
изгадить,
изгнать,
излагать,
изложить,
иметь,
испоганивать,
испоганить,
касаться,
критиковать,
лоббировать,
навязывать,
нападать,на
натолкнуть,на
натолкнуться,на
понимать,
носиться,с
нюансировать,
обмозговать,
обратиться,с
обращаться,с
обсуждать,
объединить,
объединить,под флагом
объединять,
одобрить,
одобрять,
одушевиться,
ознакомить,с
ознакомиться,с
организовать,в свете
осуществить,
осуществлять,
отбрасывать,
отбросить,
отвергать,
отвергнуть,
отказаться,от
отнестись,к
относиться,к
отражать,
отразить,
отреагировать,на
отринуть,
отрицать,
отстаивать,
отшлифовать,
оценивать,
оценить,
перевоплотить,
перевоплощать,
передать,
подавать,
подать,
подбросить,
подвести,к
подводить,к
поддержать,
поддерживать,
поделиться,
познакомить,с
познакомиться,с
понять,
попиариться,с помощью
попрать,
популяризировать,
постулировать,
предвосхитить,
предложить,
преподнести,
преподносить,
претворить,
придерживаться,
применить,
принимать,
принять,
проблематизировать,
провести,
проводить,
происходить,на основе
происходить,только на основе
пропагандировать,
протаскивать,
протащить,
развивать,
развить,
разрабатывать,
разработать,
разъяснить,
разъяснять,
распопуляризировать,
распропагандировать,в пользу
рассматривать,
рассмотреть,
реагировать,на
реализовать,
руководствоваться,
служить,
слямзить,
соваться,с
совершаться,на основе
согласиться,с
соглашаться,с
содержать,
сунуться,с
сформулировать,
увлекаться,
увлечь,
увлечься,
удовлетвориться,
ужасаться,от
утверждать,
формулировать,
ценить,
