Verb,Prep
быть,
есть,
витать,
возникать,
обладать,
воспринимать,
выдвигать,
кристаллизовать,
высказывать,
выхолащивать,
гнездить,
двигать,
доминировать,
заинтересовывать,
заключать,
зарождать,
захватывать,
защищать,
игнорировать,
излагать,
иметь,
исходить,
критиковать,
лежать,
лоббировать,
мелькать,
принимать,
просматривать,
носить,
нравить,
обсуждать,
осенять,
оставать,
отстаивать,
побеждать,
посещать,
появлять,
превалировать,
предлагать,
преподносить,
преследовать,
приходить,
принадлежать,
продумывать,
проклюнуть,
промелькнуть,
развивать,
разъяснять,
распространять,
реализовывать,
рожать,
состоять,
сохранять,
существовать,
формулировать,
толкать,
увлекать,
удовлетворять,
формировать,
бороть,за
вдохновлять,
верить,в
возражать,против
воодушевлять,
воплощать,
входить,в противоречие к
входить,в противоречие с
выдумывать,
вынашивать,
вырабатывать,
выражать,
выступать,против
выступать,с
давать,
думать,над
заблуждать,насчет
загорать,
задавать,
задумывать,над
закладывать,
запоминать,благодаря
извращать,
изгадить,
гнать,
испоганивать,
касать,
навязывать,
нападать,на
наталкивать,на
понимать,
носить,с
нюансировать,
обмозговать,
обращать,с
объединять,
объединять,под флагом
одобрять,
одушевлять,
ознакамливать,с
организовывать,в свете
осуществлять,
отбрасывать,
отвергать,
отказывать,от
относить,к
отражать,
реагировать,на
отринуть,
отрицать,
шлифовать,
оценивать,
перевоплощать,
передавать,
подавать,
подбрасывать,
подводить,к
поддерживать,
делить,
знакомить,с
пиарить,с помощью
попирать,
популяризировать,
постулировать,
предвосхищать,
претворять,
придерживать,
применять,
проблематизировать,
вести,
провожать,
происходить,на основе
происходить,только на основе
пропагандировать,
протаскивать,
разрабатывать,
пропагандировать,в пользу
рассматривать,
руководствовать,
служить,
слямзить,
совать,с
совершать,на основе
соглашать,с
содержать,
всовывать,с
ужасать,от
утверждать,
ценить,
