Verb,Prep
артикулировать,
блюсти,
будить,
быть,
возбудить,
возбуждать,
возникать,
возникнуть,
возрастать,
воспоследовать,
вызвать,
вызывать,
вызываться,
выказать,
выказывать,
выражать,
вырасти,
господствовать,
двигать,
делать,с
диктовать,
диктоваться,
есть,
зажечь,
зайти,для
заключаться,
заявить,об
заявлять,об
играть,на
иметь,
иметься,
использовать,
испытывать,
исчезнуть,
катализировать,
крыться,
лишать,
обнаруживать,
обнаружить,
обрести,
обуславливать,
обусловить,
обусловливать,
оживить,
оживиться,
оживлять,
определить,
определять,
определяться,
ослабевать,
ослабеть,
ослабить,
ослабиться,
ослаблять,
остаться,
остаться,при
остынуть,
остыть,
отмечаться,
отнестись,с
относиться,с
отсутствовать,
перенимать,
перенять,
питать,
повысить,
повыситься,
повышать,
повышаться,
поддерживать,
поддерживаться,
поднимать,
поднять,
подхлёстывать,
подчёркивать,
подымать,
пользоваться,
понизить,
потерять,
почувствовать,
появиться,
представлять,
прививать,
прививаться,
привить,
привлекать,
привлекаться,
привлечь,
приобрести,
приобретать,
пробудить,
пробудиться,
пробуждать,
пробуждаться,
пропадать,
пропасть,
проскальзывать,
проскользнуть,
проявить,
проявлять,
проявляться,
равняться,
развивать,
развиваться,
развить,
расти,
роднить,
скрывать,
скрываться,
скрыть,
слабеть,
смотреть,с
смотреть,едва ли с
снижать,
снижаться,
снизить,
снизиться,
соблюдаться,
согласиться,при условии
соглашаться,при условии
составлять,
сохранить,
сохраниться,
сохранять,
сохраняться,
существовать,
сыграть,на
терять,
теряться,
убить,
увеличивать,
увеличиваться,
увеличить,
увеличиться,
угасать,
угаснуть,
уменьшаться,
уменьшиться,
усиливать,
усиливаться,
усилить,
усилиться,
утратить,
утрачивать,
чувствовать,
чувствоваться,
эксплуатировать,
эксплуатироваться,
