Verb,Prep
артикулировать,
блюсти,
будить,
быть,
возбудить,
возникнуть,
возрастать,
вызвать,
вызываться,
выказать,
выражать,
вырасти,
господствовать,
двигать,
делать,с
диктоваться,
есть,
зажечь,
зайти,для
заключаться,
заявить,об
иметься,
испытывать,
исчезнуть,
крыться,
лишать,
обнаружить,
обрести,
обусловить,
обусловливать,
оживиться,
оживлять,
определить,
определяться,
ослабеть,
ослабиться,
остаться,
остаться,при
остынуть,
остыть,
отмечаться,
отнестись,с
отсутствовать,
перенять,
питать,
повыситься,
поддерживаться,
поднять,
подхлёстывать,
подчёркивать,
подымать,
пользоваться,
понизить,
потерять,
почувствовать,
появиться,
представлять,
прививаться,
привить,
привлекаться,
привлечь,
приобрести,
пробудиться,
пропасть,
проскользнуть,
проявить,
проявляться,
равняться,
развиваться,
развить,
расти,
роднить,
скрываться,
скрыть,
слабеть,
смотреть,с
смотреть,едва ли с
снизиться,
соблюдаться,
согласиться,при условии
составлять,
сохраниться,
существовать,
сыграть,на
теряться,
убить,
увеличиться,
угаснуть,
уменьшиться,
усилиться,
утратить,
чувствоваться,
эксплуатироваться,
