Verb,Prep
артикулировать,
блюсти,
будить,
быть,
возбудить,
возникнуть,
возрастать,
вызвать,
вызываться,
выказать,
выражать,
вырасти,
господствовать,
двигать,
делать,с
диктовать,
диктоваться,
есть,
зажечь,
зайти,для
заключаться,
заявить,об
иметь,
иметься,
испытывать,
исчезнуть,
крыться,
лишать,
обнаружить,
обрести,
обусловить,
обусловливать,
оживить,
оживиться,
оживлять,
определить,
определяться,
ослабеть,
ослабить,
ослабиться,
остаться,
остаться,при
остынуть,
остыть,
отмечаться,
отнестись,с
отсутствовать,
перенять,
питать,
повысить,
повыситься,
поддерживать,
поддерживаться,
поднять,
подхлёстывать,
подчёркивать,
подымать,
пользоваться,
понизить,
потерять,
почувствовать,
появиться,
представлять,
прививаться,
привить,
привлекаться,
привлечь,
приобрести,
пробудить,
пробудиться,
пропасть,
проскользнуть,
проявить,
проявляться,
равняться,
развиваться,
развить,
расти,
роднить,
скрываться,
скрыть,
слабеть,
смотреть,с
смотреть,едва ли с
снизить,
снизиться,
соблюдаться,
согласиться,при условии
составлять,
сохранить,
сохраниться,
существовать,
сыграть,на
теряться,
убить,
увеличить,
увеличиться,
угаснуть,
уменьшиться,
усилить,
усилиться,
утратить,
чувствоваться,
эксплуатировать,
эксплуатироваться,
