Verb,Prep
артикулировать,
блюсти,
будить,
возбудить,
возбуждать,
воспоследовать,
вызвать,
вызывать,
выказать,
выказывать,
выражать,
делать,с
диктовать,
зажечь,
зайти,для
заявить,об
заявлять,об
играть,на
иметь,
использовать,
испытывать,
катализировать,
лишать,
представлять,
проявлять,
скрывать,
составлять,
обнаруживать,
обнаружить,
обрести,
обуславливать,
обусловить,
обусловливать,
оживить,
оживлять,
определить,
определять,
ослабить,
ослаблять,
остаться,при
отнестись,с
относиться,с
перенимать,
перенять,
питать,
повысить,
повышать,
поддерживать,
поднимать,
поднять,
подхлёстывать,
подчёркивать,
подымать,
пользоваться,
понизить,
потерять,
почувствовать,
прививать,
привить,
привлекать,
привлечь,
приобрести,
приобретать,
пробудить,
пробуждать,
проявить,
равняться,
развивать,
развить,
скрыть,
смотреть,с
смотреть,едва ли с
снижать,
снизить,
согласиться,при условии
соглашаться,при условии
сохранить,
сохранять,
сыграть,на
терять,
убить,
увеличивать,
увеличить,
усиливать,
усилить,
утратить,
утрачивать,
чувствовать,
эксплуатировать,
