Verb,Prep
быть,
есть,
возникать,
возрастать,
вызывать,
вырастать,
господствовать,
двигать,
диктовать,
заключать,
иметь,
исчезать,
крыть,
оживать,
определять,
ослабевать,
ослаблять,
оставать,
остывать,
отмечать,
отсутствовать,
повышать,
поддерживать,
появлять,
прививать,
привлекать,
пробуждать,
пропадать,
проскальзывать,
проявлять,
развивать,
расти,
роднить,
скрывать,
слабеть,
снижать,
соблюдать,
сохранять,
существовать,
терять,
увеличивать,
угасать,
уменьшать,
усиливать,
чувствовать,
эксплуатировать,
артикулировать,
блюсти,
будить,
возбуждать,
воспоследовать,
выказывать,
выражать,
делать,с
жечь,
заходить,для
заявлять,об
играть,на
использовать,
испытывать,
катализировать,
лишать,
представлять,
составлять,
обнаруживать,
обретать,
обуславливать,
обусловливать,
оживлять,
оставать,переть
относить,с
перенимать,
питать,
поднимать,
подхлёстывать,
подчёркивать,
подымать,
пользовать,
понижать,
приобретать,
равнять,
смотреть,с
смотреть,едва ли с
соглашать,переть условии
убивать,
утрачивать,
