InfForm,Prep
беседовать,об
благоговеть,перед
быть,
взаимодействовать,в области
взаимодействовать,в сфере
взаимодействовать,по линии
видеть,в свете
владеть,
возникнуть,
возникнуть,в
воплотить,через
воплотиться,через
восхитить,
восхищаться,
выработать,
говорить,об
говорить,только об
демонстрировать,
демонстрироваться,
денационализировать,
дерзать,в
добиться,в
достигнуть,в
достигнуть,
думать,об
думать,только об
есть,
жить,
жонглировать,
завидовать,в отношении
заниматься,
заняться,
зародиться,
знакомиться,с
знать,
значить,в
изучать,
иметь,
интересовать,
интересоваться,
использовать,
касаться,
любить,
обладать,
обратиться,к
обращаться,к
обучать,
овладевать,
овладеть,
ознакомиться,с
оригинальничать,в
освоить,
осрамить,
остыть,к
осуществлять,денационализацию
осуществлять,приватизацию
осуществлять,разгосударствление
отдать,
отличаться,
отобразить,в
отражать,
отражать,в
отразить,в
отрицать,
побеседовать,о
повышать,
подвизаться,на ниве
познакомиться,с
показать,
показать,себя в
показывать,
показывать,себя в
понимать,в
понимать,
поощрять,в
поражать,
поразить,
посвятить,
посвящать,
появиться,
практиковаться,в
превратить,в
превратить,словно как в
превращать,в
превращать,словно как в
приватизировать,
принадлежать,
приневолить,к
приобрести,
приобщать,к
приобщаться,к
приобщиться,к
продемонстрировать,
произвести,
произрастать,на ниве
проявить,в
проявить,
проявлять,
проявляться,
разбираться,в
развивать,
развиваться,
развиваться,на ниве
развиваться,с помощью
развиться,
разговаривать,о
разгосударствлять,
раскрываться,в сфере
раскрыться,в сфере
рассуждать,об
самоутвердиться,в
сдаться,под напором
славиться,
служить,
совершенствовать,
состоять,
спорить,об
сравнивать,
судить,об
требовать,
тянуться,к
увидеть,в свете
увлекаться,
унаследовать,
уничтожить,
учить,
учиться,
фокусничать,в
ценить,
являться,
