Verb,Prep
беседовать,об
благоговеть,перед
быть,
взаимодействовать,в области
взаимодействовать,в сфере
взаимодействовать,по линии
возникнуть,
возникнуть,в
воплотиться,через
восхитить,
восхищаться,
выработать,
говорить,об
говорить,только об
демонстрироваться,
денационализировать,
дерзать,в
добиться,в
достигнуть,в
достигнуть,
думать,об
думать,только об
есть,
жить,
жонглировать,
завидовать,в отношении
заняться,
зародиться,
знать,
значить,в
изучать,
иметь,
интересоваться,
касаться,
любить,
обладать,
обратиться,к
обучать,
овладевать,
овладеть,
ознакомиться,с
оригинальничать,в
освоить,
осрамить,
остыть,к
осуществлять,денационализацию
осуществлять,приватизацию
осуществлять,разгосударствление
отдать,
отличаться,
отобразить,в
отражать,
отразить,в
отрицать,
побеседовать,о
повышать,
подвизаться,на ниве
познакомиться,с
показать,
показать,себя в
понимать,в
понимать,
поощрять,в
поразить,
посвятить,
появиться,
практиковаться,в
превратить,в
превратить,словно как в
принадлежать,
приневолить,к
приобрести,
приобщать,к
приобщиться,к
продемонстрировать,
произвести,
произрастать,на ниве
проявить,в
проявить,
проявляться,
разбираться,в
развиваться,
развиваться,на ниве
развиваться,с помощью
развиться,
разговаривать,о
разгосударствлять,
раскрываться,в сфере
раскрыться,в сфере
рассуждать,об
самоутвердиться,в
сдаться,под напором
славиться,
служить,
совершенствовать,
состоять,
спорить,об
сравнивать,
судить,об
требовать,
тянуться,к
увидеть,в свете
увлекаться,
унаследовать,
уничтожить,
учиться,
фокусничать,в
ценить,
являться,
