Verb,Prep
беседовать,об
благоговеть,перед
взаимодействовать,в области
взаимодействовать,в сфере
взаимодействовать,по линии
видеть,в свете
владеть,
возникнуть,в
воплотить,через
воплотиться,через
восхищаться,
выработать,
говорить,об
говорить,только об
демонстрировать,
денационализировать,
дерзать,в
добиться,в
достигнуть,в
достигнуть,
думать,об
думать,только об
жить,
жонглировать,
завидовать,в отношении
заниматься,
заняться,
знакомиться,с
знать,
значить,в
изучать,
иметь,
интересоваться,
использовать,
касаться,
любить,
осрамить,
обладать,
обратиться,к
обращаться,к
обучать,
овладевать,
овладеть,
ознакомиться,с
оригинальничать,в
освоить,
остыть,к
осуществлять,денационализацию
осуществлять,приватизацию
осуществлять,разгосударствление
отдать,
отличаться,
отобразить,в
отражать,в
отразить,в
отрицать,
побеседовать,о
повышать,
подвизаться,на ниве
познакомиться,с
показать,
показать,себя в
показывать,
показывать,себя в
понимать,в
понимать,
поощрять,в
поразить,
посвятить,
посвящать,
практиковаться,в
превратить,в
превратить,словно как в
превращать,в
превращать,словно как в
приватизировать,
принадлежать,
приневолить,к
приобрести,
приобщать,к
приобщаться,к
приобщиться,к
продемонстрировать,
произрастать,на ниве
проявить,в
проявить,
проявлять,
разбираться,в
развивать,
развиваться,на ниве
развиваться,с помощью
разговаривать,о
разгосударствлять,
раскрываться,в сфере
раскрыться,в сфере
рассуждать,об
самоутвердиться,в
сдаться,под напором
славиться,
служить,
совершенствовать,
спорить,об
сравнивать,
судить,об
тянуться,к
увидеть,в свете
увлекаться,
унаследовать,
уничтожить,
учить,
учиться,
фокусничать,в
ценить,
являться,
