Verb,Prep
быть,
есть,
возникать,
восхищать,
демонстрировать,
зарождать,
интересовать,
отличать,
отражать,
поражать,
появлять,
принадлежать,
производить,
проявлять,
развивать,
служить,
состоять,
требовать,
беседовать,об
благоговеть,перед
взаимодействовать,в области
взаимодействовать,в сфере
взаимодействовать,по линии
видеть,в свете
владеть,
возникать,в
воплощать,через
вырабатывать,
говорить,об
говорить,только об
денационализировать,
дерзать,в
добивать,в
достигать,в
достигать,
думать,об
думать,только об
жить,
жонглировать,
завидовать,в отношении
занимать,
знакомить,с
знать,
значить,в
изучать,
иметь,
использовать,
касать,
любить,
срамить,
обладать,
обращать,к
обучать,
овладевать,
ознакамливать,с
оригинальничать,в
осваивать,
остывать,к
осуществлять,денационализацию
осуществлять,приватизацию
осуществлять,разгосударствление
отдавать,
отображать,в
отражать,в
отрицать,
беседовать,о
повышать,
подвизать,на ниве
показывать,
показывать,себя в
полностью,осуществиться через
понимать,в
понимать,
поощрять,в
посвящать,
практиковать,в
превращать,в
превращать,словно как в
приватизировать,
неволить,к
приобретать,
приобщать,к
произрастать,на ниве
проявлять,в
разбирать,в
развивать,на ниве
развивать,с помощью
разговаривать,о
разгосударствлять,
раскрывать,в сфере
рассуждать,об
самоутверждать,в
сдавать,под напором
славить,
совершенствовать,
спорить,об
сравнивать,
судить,об
тянуть,к
увлекать,
наследовать,
уничтожать,
учить,
фокусничать,в
ценить,
являть,
