Verb,Prep
агонизировать,в условиях
амортизировать,
артикулировать,как
артикулироваться,как
бороться,с
быть,
ввергнуть,в
влиять,
возглавить,в условиях
возглавлять,в условиях
возмужать,в условиях
выбраться,из
вывести,из
выводить,из
выглядеть,как перед
выдержать,
вызвать,
вызывать,
выкарабкаться,из
выплывать,из
выплыть,после
вытаскивать,из
вытащить,из
готовиться,к
грянуть,
детонировать,
довести,до
доводить,до
дойти,до
доходить,до
ждать,
забить,на
закончиться,
замаячить,
застопориться,из-за
затронуть,
злорадствовать,по поводу
злословить,по поводу
идти,
избегать,в условиях
избегнуть,в условиях
избежать,в условиях
испытать,
испытывать,
кончаться,
кончиться,
материализоваться,в виде
миновать,
модернизировать,в условиях
наблюдать,
нависнуть,
назревать,
назреть,
наложиться,на
наступить,
находиться,в
начаться,
обвалиться,после
обезопасить,себя в условиях
обострить,
обостриться,
обострять,
обратиться,в связи с
обращаться,в связи с
ожидать,
оказаться,в
окончиться,
отражаться,
отразиться,
охватить,
очнуться,от
падать,в ходе
переживать,
переживаться,
пережить,
повести,себя в точности как во время
повести,себя как во время
повести,себя как при
повлиять,
подойти,к
подстраиваться,под
подстраховаться,в
подстраховаться,в условиях
подстраховываться,в
подстраховываться,в условиях
подстроиться,под
позлословить,по поводу
поразить,
породить,
посетить,впервые после
пострадать,в условиях
пострадать,ввиду
пострадать,от
предотвратить,
преодолевать,
преодолеваться,
преодолеть,
приближаться,
приблизить,
приноровиться,к
приодеться,в условиях
продолжаться,
продолжиться,
произойти,
происходить,
пройти,
противопоставить,
противопоставлять,
развиваться,
развиваться,благодаря
развиваться,в условиях
развиваться,во время
развиваться,вопреки
развиваться,невзирая на
развиваться,несмотря на
развиваться,после
разорить,
разориться,в результате
разоряться,в результате
разразиться,
расширить,несмотря на
расширять,несмотря на
рекомендоваться,в условиях
свидетельствовать,о
сдаваться,перед лицом
сказываться,
случиться,
смениться,
смести,
сметь,
сопровождаться,
страдать,от
тестировать,в условиях
трезвонить,о
увеличиться,
увязнуть,в
углубиться,
углубляться,
угнетать,
угрожать,
урегулировать,
усиливать,
усиливаться,
усилить,
усилиться,
ускорить,
ускориться,
усугубить,
усугубиться,
усугублять,
усугубляться,
ухудшиться,из-за
ухудшиться,явно из-за
шиковать,в условиях
экспортировать,
