Verb,Prep
агонизировать,в условиях
артикулироваться,как
бороться,с
быть,
ввергнуть,в
возглавить,в условиях
возмужать,в условиях
выбраться,из
вывести,из
выглядеть,как перед
выдержать,
вызвать,
выкарабкаться,из
выплывать,из
выплыть,после
вытащить,из
готовиться,к
довести,до
дойти,до
ждать,
забить,на
закончиться,
замаячить,
застопориться,из-за
затронуть,
злорадствовать,по поводу
идти,
избегнуть,в условиях
избежать,в условиях
испытать,
кончиться,
наблюдать,
нависнуть,
назреть,
наложиться,на
наступить,
начаться,
обвалиться,после
обезопасить,себя в условиях
обостриться,
обратиться,в связи с
ожидать,
оказаться,в
окончиться,
отразиться,
охватить,
падать,в ходе
переживаться,
пережить,
повести,себя в точности как во время
повести,себя как во время
повести,себя как при
повлиять,
подойти,к
подстраховаться,в
подстраховаться,в условиях
подстроиться,под
позлословить,по поводу
поразить,
породить,
посетить,впервые после
пострадать,в условиях
пострадать,ввиду
пострадать,от
предотвратить,
преодолеваться,
преодолеть,
приближаться,
приблизить,
приноровиться,к
приодеться,в условиях
продолжиться,
произойти,
пройти,
противопоставить,
развиваться,
развиваться,благодаря
развиваться,в условиях
развиваться,во время
развиваться,вопреки
развиваться,невзирая на
развиваться,несмотря на
развиваться,после
разорить,
разориться,в результате
разразиться,
расширить,несмотря на
рекомендоваться,в условиях
свидетельствовать,о
сдаваться,перед лицом
сказываться,
случиться,
смениться,
смести,
сметь,
сопровождаться,
тестировать,в условиях
трезвонить,о
увеличиться,
увязнуть,в
углубиться,
угнетать,
угрожать,
урегулировать,
усилиться,
ускориться,
усугубиться,
ухудшиться,из-за
ухудшиться,явно из-за
шиковать,в условиях
