Verb,Prep
быть,
влиять,
грянуть,
заканчивать,
маячить,
затрагивать,
идти,
кончать,
миновать,
нависать,
назревать,
наступать,
начинать,
обострять,
оканчивать,
отражать,
охватывать,
переживать,
преодолевать,
приближать,
продолжать,
происходить,
проходить,
развивать,
разорять,
разражать,
сказывать,
случать,
менять,
сметь,
сметать,
сопровождать,
увеличивать,
углублять,
угнетать,
угрожать,
усиливать,
ускорять,
усугублять,
агонизировать,в условиях
амортизировать,
артикулировать,как
бороть,с
ввергать,в
возглавлять,в условиях
мужать,в условиях
выбирать,из
выводить,из
выглядывать,как перед
вызывать,
выкарабкивать,из
выплывать,из
вытаскивать,из
готовить,к
детонировать,
доводить,до
доходить,до
ждать,
забивать,на
застопоривать,из-за
злорадствовать,по поводу
злословить,по поводу
избегать,в условиях
испытывать,
материализовать,в виде
модернизировать,в условиях
наблюдать,
накладывать,на
находить,в
выдерживать,
выплывать,после
рекомендовать,в условиях
сдавать,перед лицом
обваливать,после
обезопашивать,себя в условиях
обращать,в связи с
ожидать,
оказывать,в
очнуть,от
падать,в ходе
вести,себя в точности как во время
вести,себя как во время
вести,себя как переть
подходить,к
подстраивать,под
подстраховывать,в
подстраховывать,в условиях
поражать,
порождать,
посещать,впервые после
страдать,в условиях
страдать,ввиду
страдать,от
предотвращать,
приноравливать,к
приодевать,в условиях
противопоставлять,
развивать,благодаря
развивать,в условиях
развивать,во время
развивать,вопреки
развивать,невзирая на
развивать,несмотря на
развивать,после
разорять,в результате
расширять,несмотря на
свидетельствовать,о
тестировать,в условиях
трезвонить,о
вязнуть,в
регулировать,
ухудшать,из-за
ухудшать,явно из-за
шиковать,в условиях
экспортировать,
