Verb,Prep
ассоциироваться,
брать,на
быть,
быть,в
быть,возле
быть,на
быть,около
быть,рядом с
быть,спереди от
быть,у
вернуться,на
взбираться,на
взлететь,с
взорваться,по пути к
видеть,неподалеку от
водворить,на
водрузить,на
возвратиться,на
возникнуть,в
восстановить,в точности на
восстановить,на
вспомнить,
встать,на
встать,с
встретиться,в
встретиться,на
выбрать,
вывезти,с
выдать,на
выделить,
выехать,на
вызвать,на
выйти,к
выйти,на
даваться,
дать,
двинуться,с
держаться,в
добраться,до
добросить,до
добывать,в
довезти,до
договориться,о
договориться,относительно
доехать,до
дойти,до
долететь,до
доставить,в
доставить,к
доставить,на
дотронуться,до
есть,
жить,на
жить,по
забронировать,в отдалении от
забронировать,далеко от
зависнуть,над
завораживать,
задержаться,на
закурить,в
заметить,
замешкаться,на
заниматься,
запомнить,
застать,на
застигнуть,на
затоптаться,на
захватить,на
захватить,
избрать,в качестве
избрать,
иметься,
интриговать,по поводу
кончить,на
коснуться,
купаться,в
купаться,на
купаться,недалеко от
лежать,возле
лежать,около
лежать,рядом с
лежать,у
лишиться,
ложиться,на
назвать,
назначить,
найти,в
найти,на
найтись,
накрыть,на
напасть,на
направиться,на
наступить,на
начинаться,в
нащупаться,
обвыкнуть,на
обеспечить,
обнаружить,в
обнаружить,на
обогнуть,
обозначить,
обойти,
обосноваться,на
обрести,
обстираться,на
обусловливаться,
обустроиться,на
оказаться,в
оказаться,на
описать,
определить,
определиться,на
организовать,применительно к
освоить,
осмотреть,
осмотреться,на
основаться,на
оставаться,все еще на
оставаться,еще на
оставить,
остаться,на
отвести,за неимением
отвести,
отлучиться,с
отметить,
отнести,от
отослать,на
отправить,из
отправить,на
отыскать,
охранять,
оцепить,
ошибиться,в части
ошибиться,
ощущаться,в
перебазироваться,ближе к
перебазироваться,к
перебазироваться,поближе к
перебраться,на
перебраться,с
перебросить,с
перевесить,с
перевести,в
перевести,к
передаваться,с
переехать,на
переехать,с
перейти,на
переминаться,на
переназначить,
перенести,на
перепродать,
пересесть,с
переслать,к
переступить,на
плавать,на
повернуться,на
повесить,на
погибнуть,по пути к
подавить,на
податься,в
подвинуться,с
подготовить,
поймать,на
показать,
покинуть,
положить,в
положить,на
получить,
поместить,в
попасть,в
попросить,с
поселиться,на
посетить,
послать,на
поставить,на
потереть,
потерять,
потоптаться,на
появиться,на
предложить,
предоставить,
препроводить,к
приближаться,к
приблизиться,к
прибыть,к
прибыть,на
привыкнуть,к
пригвоздить,к
приглядеть,
придерживаться,
приехать,на
прижиться,на
прийти,в
прийти,к
прийти,на
приковать,к
приложить,к
принадлежать,
припарковать,у
припарковаться,на
приплясывать,на
прирастать,к
присмотреть,
притронуться,к
притягивать,
провалиться,на
проверить,на
провести,на
проводить,до
продвинуть,до
проезжать,мимо
проезжать,по
проживать,по
произойти,на
произойти,предположительно на
пройти,к
прокладывать,к
проскочить,
прятать,на
развести,на
раздражать,
разобраться,на
располагаться,спереди от
рассиживаться,на
рассматриваться,
рассмотреть,с
расстреливать,на
растереть,
расчистить,
сволакивать,в
сдвинуться,с
сесть,на
сидеть,на
сказать,к
сказать,явно к
складывать,на
сконцентрироваться,в направлении
скоординироваться,по
скрываться,недалеко от
скрыться,с
сложить,в
сниматься,с
соврать,о
согнать,с
сойти,в
сойти,с
сообщить,на
сообщить,о
сопровождать,до
соскучиться,о
соскучиться,по
составить,в
спрятать,в
срываться,с
ссориться,из-за
ставить,на
стать,на
стоить,
столкнуть,с
сторожить,возле
сторожить,на
сторожить,у
стоять,в
стоять,возле
стоять,на
стоять,около
стоять,рядом с
стоять,у
требовать,
тронуться,с
тянуть,от
тянуть,из
тянуть,с
убить,на
убрать,в
убрать,на
убрать,
убыть,на
угодить,в
ударить,по
уделить,
удостовериться,относительно
уехать,с
уживаться,на
узнать,
уйти,с
указать,
уложить,на
упасть,на
успеть,к
уточнить,
фотографировать,с
ходить,в
ходить,до
ходить,из
чувствовать,в
экономить,
