Verb,Prep
брать,на
бронировать,
быть,в
быть,возле
быть,на
быть,около
быть,рядом с
быть,спереди от
быть,у
вернуться,на
взбираться,на
взлетать,с
взлететь,с
взорваться,по пути к
видеть,неподалеку от
водворить,на
водворять,на
водрузить,на
возвратиться,на
возвращаться,на
возникнуть,в
восстановить,в точности на
восстановить,на
вспомнить,
встать,на
встать,с
встретиться,в
встретиться,на
выбрать,
вывезти,с
вывозить,с
выдавать,на
выдать,на
выделить,
выехать,на
вызвать,на
выйти,к
выйти,на
выходить,на
давать,
дать,
двигаться,с
дезертировать,по пути к
держаться,в
дислоцировать,поблизости от
добираться,до
добраться,до
добросить,до
добывать,в
довезти,до
довозить,до
договариваться,о
договориться,о
договориться,относительно
доехать,до
дойти,до
долететь,до
доплестись,до
доставить,в
доставить,к
доставить,на
доставлять,к
доставлять,на
дотронуться,до
жить,на
жить,по
забронировать,в отдалении от
забронировать,далеко от
зависнуть,над
задержать,на
задержаться,на
заёрзать,на
закурить,в
заметить,
замечать,
замешкаться,на
запомнить,
застать,на
застигать,на
застигнуть,на
застолбить,
застрять,возле
застрять,неподалеку от
затоптаться,на
захватить,на
захватить,
знать,
избрать,в качестве
избрать,
иметь,
интриговать,по поводу
искать,
исследовать,
класть,на
концентрировать,в направлении
концентрироваться,в направлении
кончить,на
коснуться,
купаться,в
купаться,на
купаться,недалеко от
лежать,возле
лежать,около
лежать,рядом с
лежать,у
лишить,
лишиться,
ложиться,на
назвать,
назначать,
назначить,
найти,в
найти,на
найти,
накрыть,на
напасть,на
направить,на
направиться,на
направлять,на
направляться,на
наступить,на
находить,
находиться,в
находиться,в точности на
находиться,возле
находиться,где-то на
находиться,на
находиться,около
находиться,рядом с
находиться,спереди от
находиться,у
начинаться,в
нащупать,
двинуться,с
занимать,
находить,себе
отлучаться,с
проверить,на
проверять,на
узнать,
успеть,к
обвыкнуть,на
обеспечить,
облюбовать,
обнаружить,в
обнаружить,на
обогнуть,
обозначить,
обойти,
обосноваться,на
обрести,
обретать,
обследовать,
обстираться,на
обстирываться,на
обусловливаться,
обустраиваться,на
обустроиться,на
оглядеться,на
оказаться,в
оказаться,на
описать,
описывать,
определить,на
определить,
определиться,на
определять,на
определять,
определяться,на
организовать,применительно к
осваивать,
освоить,
осмотреть,
осмотреться,на
основать,на
основаться,на
оставаться,все еще на
оставаться,еще на
оставаться,на
оставить,
остаться,на
отбыть,к
отвести,за неимением
отвести,
отводить,за неимением
отводить,
отлучиться,с
отметить,
отмечать,
отнести,от
относить,от
отослать,на
отправить,из
отправить,на
отсылать,на
отыскать,
охранять,
оцепить,
очутиться,в
ошибаться,в части
ошибаться,
ошибиться,в части
ошибиться,
ощущаться,в
парковаться,на
перебазировать,ближе к
перебазировать,к
перебазировать,поближе к
перебазироваться,ближе к
перебазироваться,к
перебазироваться,поближе к
перебираться,на
перебираться,с
перебраться,на
перебраться,с
перебросить,с
перевесить,с
перевести,в
перевести,к
перевозить,к
передаваться,с
переезжать,на
переезжать,с
переехать,на
переехать,с
перейти,на
переменить,
переминаться,на
переназначить,
перенести,на
переносить,на
