InfForm,Prep
акцентировать,
амальгамировать,
блуждать,
будить,
вернуться,к
внушать,
внушать,себе
внушить,
возбуждаться,при
возбухать,от
возвратиться,к
волноваться,при
вспылить,от
выбросить,
выдавать,
выдать,
выделить,
вызывать,
выкристаллизовать,
выносить,
выражать,
выразить,
высказать,
высказывать,
гнать,от себя
давать,
дать,
делиться,
держаться,
добиваться,при помощи
добиваться,с помощью
добиться,при помощи
добиться,с помощью
довести,
доносить,
допускать,
допустить,
досказать,
жить,
завуалировать,
загореться,
задаваться,
задаться,
закончить,
заострить,
записать,
захихикать,от
идти,впереди
избавиться,от
избавляться,от
излагать,
изложить,
изречь,
иллюстрировать,
испошлить,
испошлять,
казниться,
коверкать,
кривить,от
кривиться,от
кристаллизовать,
лелеять,
ловить,себя на
мертветь,от
мириться,с
набредать,на
набрести,на
навевать,
навести,на
навеять,
наводить,на
навязать,
навязывать,
нападать,на
напасть,на
напрячься,от
наталкивать,на
наталкиваться,на
наткнуться,на
натолкнуть,на
натолкнуться,на
ругаться,по поводу
нервничать,от
носиться,с
нюансировать,
обдумать,
обдумывать,
обесплодить,
облекать,
облечь,
ободриться,от
ободряться,от
обосновать,
обосновывать,
объяснить,
опошлить,
освоиться,с
основываться,на
останавливаться,на
остановить,
остановиться,на
отбрасывать,
отвлечь,от
отвлечься,от
отгонять,
отделаться,от
отделываться,от
отказаться,от
откидывать,
откинуть,
отогнать,
отражать,
отразить,
отрешиться,от
отчаиваться,при
оценить,
перебивать,
перебить,
передавать,
передать,
перескакивать,с
подавать,
подать,
подвести,к
подводить,к
подтвердить,
подтверждать,
подхватить,
подхватывать,
поймать,себя на
понимать,
понять,
потерять,
потешиться,
пояснить,
пояснять,
предвосхитить,
предвосхищать,
привести,
привести,к
приводить,к
привыкнуть,к
придерживаться,
прийти,к
примириться,с
примиряться,с
принимать,
принять,
присваивать,
присвоить,
приучать,к
приучаться,к
приучить,к
приучиться,к
приходить,к
проблематизировать,
пробудить,
пробуждать,
провести,
проводить,
прогнать,
продолжать,
проиллюстрировать,
проникаться,
проникнуться,
пугаться,
радоваться,
развивать,
развить,
разделять,
разжевать,
разъяснить,
разъяснять,
расстаться,с
резюмировать,
сбивать,с
сбиваться,с
сбить,с
сбиться,с
свыкаться,с
свыкнуться,с
склонять,к
сковать,
скривиться,от
скрывать,
скрыть,
следить,за
смириться,с
сникнуть,от
сосредотачивать,
сосредоточивать,
сосредоточить,
сутрировать,
сформулировать,
схватить,
схватывать,
терять,
тешиться,
убить,
угадать,
ужасаться,от
ужасаться,при
ужаснуться,от
ужаснуться,при
укрепиться,в
улыбнуться,
управлять,только посредством
управлять,посредством
уродовать,
усвоить,
успокаивать,себя
успокоить,себя
устать,от
утвердить,в
утвердиться,в
утверждаться,в
утешаться,
утрировать,
ухватить,
уцепиться,за
ценить,
цепляться,за
явиться,в
