Verb,Prep
быть,
беспокоить,
блестеть,
блуждать,
есть,
витать,
вкрасть,
владеть,
внушать,
возникать,
встрепенуть,
вызревать,
кристаллизовать,
выпадать,
выражать,
высказывать,
глодать,
гнести,
двигать,
душить,
забрести,
закрадывать,
маячить,
занимать,
зарождать,
засаживаться,
затаивать,
зреть,
идти,
испарять,
исчезать,
крутить,
мелькать,
мучить,
навевать,
навязывать,
напрашивать,
выхаживать,
давать,
покидать,
нравить,
обдумывать,
осенять,
останавливать,
оставать,
отвлекать,
подтверждать,
поражать,
появлять,
преследовать,
приходить,
провожать,
звучать,
проистекать,
промелькнуть,
проносить,
пронзать,
пронизывать,
проскальзывать,
пугать,
работать,
радовать,
разъяснять,
рожать,
сверкать,
содержать,
терзать,
тревожить,
ужасать,
устаревать,
уязвлять,
шагать,
шевелить,
являть,
акцентировать,
амальгамировать,
будить,
возвращать,к
внушать,себе
возбуждать,переть
возбухать,от
волновать,переть
вспылить,от
выбрасывать,
выдавать,
выделять,
вызывать,
вынашивать,
гнать,от себя
делить,
держать,
добивать,переть помощи
добивать,с помощью
доводить,
доносить,
допускать,
досказать,
жить,
вуалировать,
загорать,
задавать,
заканчивать,
заострять,
записывать,
захихикать,от
идти,впереди
избавлять,от
излагать,
изрекать,
иллюстрировать,
испошлять,
казнить,
коверкать,
кривить,от
лелеять,
ловить,себя на
мертветь,от
мирить,с
набредать,на
наводить,на
нападать,на
напрягать,от
наталкивать,на
натыкать,на
ругать,по поводу
нервничать,от
носить,с
нюансировать,
обесплодить,
облекать,
облегать,
бодрить,от
ободрять,от
обосновывать,
объяснять,
опошлять,
осваивать,с
основывать,на
останавливать,на
отбрасывать,
отвлекать,от
отгонять,
отделывать,от
отказывать,от
откидывать,
отражать,
отрешать,от
отчаивать,переть
оценивать,
перебивать,
передавать,
перескакивать,с
подавать,
подводить,к
подхватывать,
понимать,
терять,
потешать,
пояснять,
предвосхищать,
приводить,
приводить,к
привыкать,к
придерживать,
приходить,к
примирять,с
принимать,
присваивать,
приучать,к
проблематизировать,
пробуждать,
вести,
гнать,
продолжать,
проникать,
развивать,
разделять,
жевать,
расставать,с
резюмировать,
сбивать,с
свыкать,с
склонять,к
ковать,
скрывать,
следить,за
смирять,с
сникать,от
сосредотачивать,
сосредоточивать,
утрировать,
формулировать,
схватывать,
тешить,
убивать,
угадывать,
ужасать,от
ужасать,переть
крепить,в
улыбать,
управлять,только посредством
управлять,посредством
уродовать,
усваивать,
успокаивать,себя
уставать,от
утверждать,в
утешать,
ухватывать,
уцеплять,за
ценить,
цеплять,за
являть,в
