Verb,Prep
быть,
быть,без
быть,по
вбухать,в
вбухнуть,в
ввести,
выделить,на
выделить,только на
выплатить,на
дать,
есть,
зависеть,от
закончить,
затратить,на
иметь,
иметься,
интересоваться,
касаться,
конвертировать,
кончать,
обеспечить,
окончить,
отличиться,в вопросах
платить,за
повысить,
подвизаться,на ниве
получить,
поощрять,в сфере
предложить,взамен
продолжить,
произрастать,на ниве
развивать,
развиваться,
развиваться,в направлении
раскрываться,в сфере
раскрыться,в сфере
складываться,в сфере
складываться,исключительно в сфере
служить,
совершенствовать,
соврать,про
стремиться,к
улучшить,
улучшиться,
ухудшаться,
учитывать,
