InfForm,Prep
быть,без
быть,по
вбухать,в
вбухивать,в
вбухнуть,в
ввести,
выделить,на
выделить,только на
выделять,на
выделять,только на
выплатить,на
давать,
дать,
зависеть,от
заканчивать,
закончить,
затратить,на
затрачивать,на
идеологизировать,
иметь,
интегрировать,с
интересоваться,
касаться,
коммерциализировать,
конвертировать,
кончать,
обеспечить,
оканчивать,
окончить,
отличиться,в вопросах
платить,за
повысить,
повышать,
подвизаться,на ниве
получать,
получить,
поощрять,в сфере
предложить,взамен
продолжать,
продолжить,
произрастать,на ниве
развивать,
развиваться,в направлении
раскрываться,в сфере
раскрыться,в сфере
реформировать,
складываться,в сфере
складываться,исключительно в сфере
служить,
совершенствовать,
соврать,про
стремиться,к
улучшать,
улучшить,
учитывать,
