Verb,Prep
быть,
есть,
иметь,
развивать,
улучшать,
ухудшать,
быть,без
быть,по
вбухивать,в
вводить,
выделять,на
выделять,только на
выплачивать,на
давать,
зависеть,от
заканчивать,
затрачивать,на
идеологизировать,
интегрировать,с
интересовать,
касать,
коммерциализировать,
конвертировать,
кончать,
обеспечивать,
оканчивать,
отличать,в вопросах
платить,за
повышать,
подвизать,на ниве
получать,
поощрять,в сфере
предлагать,взамен
продолжать,
произрастать,на ниве
развивать,в направлении
раскрывать,в сфере
реформировать,
складывать,в сфере
складывать,исключительно в сфере
служить,
совершенствовать,
врать,про
стремить,к
учитывать,
