Verb,Prep
быть,
возникать,
вынуждать,
выяснять,
изменять,
изучать,
использовать,
менять,
нагнетать,
накаливать,
накалять,
нормализовать,
обострять,
окружать,
осложнять,
оценивать,
поддерживать,
позволять,
прояснять,
радовать,
развивать,
разряжать,
складывать,
создавать,
сохранять,
стабилизировать,
тревожить,
улучшать,
устаканивать,
ухудшать,
учитывать,
царить,
адаптировать,к
быть,в
вдохновлять,
вести,себя несообразно с
взвинчивать,
влиять,на
возводить,в
воскрешать,
вписывать,в
вручать,в
действовать,в
действовать,в соответствии с
действовать,по
декриминализировать,
деполитизировать,
дестабилизировать,
докладывать,
жить,в
замечать,в связи с
знакомить,с
игнорировать,
исходить,из
касать,
комментировать,
контрастировать,по отношению к
ликвидировать,
маневрировать,в
мирить,с
нарушать,
наслаждать,
находить,в
выезжать,из-за
невзлюбить,из-за
нервировать,в
обвыкать,в
обсуждать,
обтерпеть,в
оздоравливать,
ознакамливать,с
оказывать,в
окружать,себя
организовывать,соответственно
организовывать,в
ориентировать,в
робеть,от
осваивать,с
переменить,
поляризовать,
помещать,в
понимать,
давать,
попадать,в
страдать,ввиду
поступать,применительно к
привыкать,к
прилаживать,к
принюхивать,к
приобвыкать,к
приспосабливать,к
притирать,к
анализировать,
происходить,в
работать,в
разбирать,в
развивать,в
разбирать,с
разузнавать,
рисовать,
свыкать,с
сживать,с
сменять,
снимать,в связи с
согласовывать,с
срастать,с
стерпеть,с
считывать,с
усложнять,
устранять,
усугублять,
утяжелять,
