InfForm,Prep
быть,
видеть,
возникнуть,
выслеживаться,
выяснить,
выясниться,
демонстрировать,
демонстрироваться,
есть,
заключаться,
изучить,
иметь,
иметься,
исчезнуть,
лишить,
лишиться,
обладать,
остаться,
отличать,
отличаться,
отметить,
отмечать,
отсутствовать,
оценивать,
оценить,
подметиться,
подмечаться,
появиться,
придавать,
придать,
приловчиться,к
приобрести,
проявиться,
проявляться,
рассматривать,
рассматриваться,
состоять,
сохранить,
сохранять,
считать,
считаться,
узнать,об
указывать,на
указываться,
утратить,
учесть,
учитывать,
учитываться,
характеризовать,
характеризоваться,
являться,
