InfForm,Prep
брать,по
быть,
быть,в
быть,на
возникнуть,
впереться,вне
вставать,в
встать,в
выгнать,из
выгонять,из
выстаивать,
выстраиваться,
выстраиваться,в
выстроиться,
выстроиться,в
двигаться,
дождаться,
дожидаться,
дойти,
ждать,
занимать,
занять,
заходить,по
идти,
идти,в направлении
идти,в
идти,вокруг
идти,из
идти,к
идти,мимо
идти,от
идти,по
исчезнуть,
консультироваться,по вопросу
кончиться,
купить,без
нарушать,
нарушить,
настать,
наступать,
наступить,
находиться,в
носить,по
обслуживать,по
обслуживаться,вне
обслуживаться,по
обслужить,по
обслужиться,вне
обслужиться,по
ожидать,в
ожидать,
оказаться,в
организоваться,в
отстаивать,в
отстоять,в
отстоять,
переадресовать,в
переформировать,
побегать,вдоль
подойти,
получить,без
поставить,в
поставить,на
появиться,
прийти,
присоединиться,к
пристроиться,в
проконсультироваться,по вопросу
пролезть,без
пропасть,
пропускать,в
пропускать,
пропустить,
простоять,в
проходить,по
прошмыгнуть,впереди
распасться,
рассортироваться,по
рассортировываться,по
рассосаться,
расти,
реализоваться,в виде
скопиться,
соблюдать,
сократить,
сократиться,
сокращать,
сокращаться,
спрашивать,по
ссориться,по поводу
ставить,в
ставить,на
становиться,в
стать,в
стоить,
стоять,
стоять,в
стоять,на
увеличивать,
увеличиваться,
увеличить,
увеличиться,
уговариваться,относительно
уговориться,относительно
удлиниться,
удлиняться,
укорачивать,
укорачиваться,
укоротить,
укоротиться,
уменьшаться,
уменьшиться,
упрашиваться,без
упроситься,без
устанавливать,
установить,
установиться,
