InfForm,Prep
брать,по
быть,в
быть,на
впереться,вне
вставать,в
встать,в
выгнать,из
выгонять,из
выстаивать,
выстраиваться,в
выстроиться,в
дождаться,
дожидаться,
ждать,
занимать,
занять,
заходить,по
идти,в направлении
идти,в
идти,вокруг
идти,из
идти,к
идти,мимо
идти,от
идти,по
консультироваться,по вопросу
купить,без
нарушать,
нарушить,
находиться,в
ссориться,по поводу
носить,по
обслуживать,по
обслуживаться,вне
обслуживаться,по
обслужить,по
обслужиться,вне
обслужиться,по
ожидать,в
ожидать,
оказаться,в
организоваться,в
отстаивать,в
отстоять,в
отстоять,
переадресовать,в
переформировать,
побегать,вдоль
получить,без
поставить,в
поставить,на
присоединиться,к
пристроиться,в
проконсультироваться,по вопросу
пролезть,без
пропускать,в
пропускать,
пропустить,
простоять,в
проходить,по
прошмыгнуть,впереди
рассортироваться,по
рассортировываться,по
реализоваться,в виде
соблюдать,
сократить,
сокращать,
спрашивать,по
ставить,в
ставить,на
становиться,в
стать,в
стоять,в
стоять,на
стоять,
увеличивать,
увеличить,
уговариваться,относительно
уговориться,относительно
укорачивать,
укоротить,
упрашиваться,без
упроситься,без
устанавливать,
установить,
