Verb,Prep
быть,
возникать,
выстраивать,
двигать,
доходить,
идти,
исчезать,
кончать,
наставать,
наступать,
подходить,
появлять,
приходить,
пропадать,
распадать,
рассасывать,
расти,
копить,
сокращать,
стоять,
стоить,
увеличивать,
удлинять,
укорачивать,
уменьшать,
устанавливать,
брать,по
быть,в
быть,на
впереть,вне
вставать,в
выгонять,из
выстаивать,
выстраивать,в
дожидать,
ждать,
занимать,
заходить,по
идти,в направлении
идти,в
идти,вокруг
идти,из
идти,к
идти,мимо
идти,от
идти,по
консультировать,по вопросу
покупать,без
нарушать,
находить,в
ссорить,по поводу
носить,по
обслуживать,по
обслуживать,вне
ожидать,в
ожидать,
оказывать,в
организовывать,в
отстаивать,в
отстаивать,
переадресовывать,в
переформировать,
бегать,вдоль
получать,без
поставлять,в
поставлять,на
присоединять,к
пристраивать,в
пролезать,без
пропускать,в
пропускать,
простаивать,в
проходить,по
прошмыгнуть,впереди
рассортировывать,по
реализовывать,в виде
соблюдать,
спрашивать,по
ставить,в
ставить,на
становить,в
становиться,в
стоять,в
стоять,на
уговаривать,относительно
упрашивать,без
