Verb,Prep
быть,
взять,по
видеть,
вкрасться,
возникнуть,
впадать,в
впасть,в
встречаться,
всыпать,за
вызвать,
вызывать,
выискать,
выйти,
выйти,замуж по
выявить,
выявлять,
выявляться,
делать,
допускать,
допускаться,
допустить,
досадовать,на
досадовать,об
есть,
жениться,по
завершиться,с
загладить,
заглаживать,
зайти,по
заметить,
замечать,
игнорировать,
избегать,
избегнуть,
избежать,
извинить,за
извиниться,за
изворачиваться,из-за
иметься,
искать,
использовать,
исправить,
исправлять,
каяться,в
квитировать,
корректировать,
крыться,
надеть,по
назвать,
найти,
наложиться,
настаивать,на
настоять,на
нервничать,из-за
оберегать,от
обернуться,
обнаружить,
обнаружиться,
объяснить,
обыграть,
оказаться,
осознавать,
осознать,
отграничить,
перезагружаться,при
перезагрузиться,при
повторить,
повториться,
повторять,
повторяться,
подстраховаться,от
подстраховываться,от
подчёркивать,
подчёркиваться,
подчеркнуть,
позволить,себе
покалечиться,по причине
покаяться,в
получить,
поправить,
поправиться,после
породить,
пострадать,из-за
пострадать,лишь из-за
потерять,в результате
появиться,
предостерегать,от
предостеречь,от
предотвратить,
привести,
привести,к
приводить,к
признавать,
признаваться,в
признать,
признаться,в
проглядеть,
произойти,
произойти,из-за
происходить,до после
пройти,по
пропустить,по
пропустить,
просигнализироваться,
просмотреть,
простить,за
простить,
публиковать,из-за
раздуть,
ругать,за
сбивать,по
сбить,по
сглаживать,
сделать,по
сделать,
сесть,из-за
сесть,по
сигнализироваться,
скорректировать,
совершать,
совершить,
сознавать,
сознаваться,в
сознать,
сознаться,в
сострить,над
существовать,
считать,
считаться,
уберечь,от
уберечься,от
убиваться,по поводу
увеличить,
увеличиться,
увидеть,
удержать,от
удерживать,от
указать,на
указать,
усмотреть,
устранить,
устранять,
явиться,
