Verb,Prep
быть,
взять,по
возникнуть,
впасть,в
встречаться,
вызвать,
выискать,
выйти,
выйти,замуж по
выявить,
выявляться,
допускаться,
допустить,
досадовать,на
досадовать,об
есть,
завершиться,с
загладить,
зайти,по
заметить,
игнорировать,
избегнуть,
избежать,
извиниться,за
изворачиваться,из-за
иметься,
искать,
исправить,
крыться,
надеть,по
назвать,
найти,
наложиться,
настоять,на
нервничать,из-за
оберегать,от
обернуться,
обнаружиться,
объяснить,
обыграть,
оказаться,
осознать,
отграничить,
перезагрузиться,при
повториться,
подстраховаться,от
подчёркиваться,
подчеркнуть,
позволить,себе
покалечиться,по причине
покаяться,в
получить,
поправить,
поправиться,после
породить,
пострадать,из-за
пострадать,лишь из-за
потерять,в результате
появиться,
предостеречь,от
предотвратить,
привести,
привести,к
признать,
признаться,в
проглядеть,
произойти,
произойти,из-за
происходить,до после
пройти,по
пропустить,по
пропустить,
просигнализироваться,
просмотреть,
простить,за
простить,
публиковать,из-за
раздуть,
ругать,за
сбить,по
сглаживать,
сделать,по
сделать,
сесть,из-за
сесть,по
скорректировать,
совершить,
сознать,
сознаться,в
сострить,над
существовать,
считаться,
уберечься,от
убиваться,по поводу
увеличиться,
увидеть,
удержать,от
указать,на
указать,
усмотреть,
устранить,
явиться,
