Verb,Prep
взять,по
видеть,
впадать,в
впасть,в
всыпать,за
вызвать,
вызывать,
выискать,
выйти,замуж по
выявить,
выявлять,
делать,
допускать,
допустить,
досадовать,на
досадовать,об
жениться,по
завершиться,с
загладить,
заглаживать,
зайти,по
заметить,
замечать,
игнорировать,
избегать,
избегнуть,
избежать,
извинить,за
извиниться,за
изворачиваться,из-за
искать,
использовать,
исправить,
исправлять,
каяться,в
квитировать,
корректировать,
надеть,по
назвать,
найти,
настаивать,на
настоять,на
получить,
публиковать,из-за
нервничать,из-за
оберегать,от
обнаружить,
объяснить,
обыграть,
оказаться,
осознавать,
осознать,
отграничить,
перезагружаться,при
перезагрузиться,при
повторить,
повторять,
подстраховаться,от
подстраховываться,от
подчёркивать,
подчеркнуть,
позволить,себе
покалечиться,по причине
покаяться,в
поправить,
поправиться,после
породить,
пострадать,из-за
пострадать,лишь из-за
потерять,в результате
предостерегать,от
предостеречь,от
предотвратить,
привести,к
приводить,к
признавать,
признаваться,в
признать,
признаться,в
проглядеть,
произойти,из-за
происходить,до после
пройти,по
пропустить,по
пропустить,
просмотреть,
простить,за
простить,
раздуть,
ругать,за
сбивать,по
сбить,по
сглаживать,
сделать,по
сделать,
сесть,из-за
сесть,по
скорректировать,
совершать,
совершить,
сознавать,
сознаваться,в
сознать,
сознаться,в
сострить,над
считать,
считаться,
уберечь,от
уберечься,от
убиваться,по поводу
увеличить,
увидеть,
удержать,от
удерживать,от
указать,на
указать,
усмотреть,
устранить,
устранять,
явиться,
