Verb,Prep
быть,
есть,
вкрасть,
возникать,
встречать,
выхаживать,
выявлять,
допускать,
иметь,
крыть,
накладывать,
обертывать,
обнаруживать,
повторять,
подчёркивать,
появлять,
приводить,
происходить,
сигнализировать,
существовать,
увеличивать,
брать,по
видеть,
впадать,в
всыпать,за
вызывать,
выискивать,
выхаживать,замуж по
делать,
досадовать,на
досадовать,об
женить,по
завершать,с
заглаживать,
заходить,по
замечать,
игнорировать,
избегать,
извинять,за
изворачивать,из-за
искать,
использовать,
исправлять,
каять,в
квитировать,
корректировать,
надевать,по
называть,
находить,
настаивать,на
получать,
публиковать,из-за
нервничать,из-за
оберегать,от
объяснять,
обыгрывать,
оказывать,
осознавать,
отграничивать,
перезагружать,переть
подстраховывать,от
подчеркивать,
позволять,себе
калечить,по причине
поправлять,
поправлять,после
порождать,
страдать,из-за
страдать,лишь из-за
терять,в результате
предостерегать,от
предотвращать,
приводить,к
признавать,
признавать,в
проглядывать,
происходить,из-за
происходить,до после
проходить,по
пропускать,по
пропускать,
просматривать,
прощать,за
прощать,
раздувать,
ругать,за
сбивать,по
сглаживать,
делать,по
садиться,из-за
садиться,по
совершать,
сознавать,
сознавать,в
острить,над
считывать,
беречь,от
убивать,по поводу
удерживать,от
указывать,на
указывать,
усматривать,
устранять,
являть,
