InfForm,Prep
анализировать,с позиции
анализировать,
анализироваться,
беседовать,о
беспокоить,
бояться,
быть,
быть,в
ввести,в
ввести,
вернуть,в
вернуться,в
вернуться,к вопросу о
влиять,на
внушать,
возвратить,в
возвратиться,в
возвращать,в
возвращаться,в
возвыситься,до
возвышаться,до
войти,в
воспринимать,
восстанавливать,
восстанавливаться,
восстановить,
входить,в
выбраться,из
вызывать,
выйти,из
выйти,замуж в
выкарабкаться,из
выправить,
выправлять,
выправляться,
выпутаться,из
выступать,по вопросу о
выступить,по вопросу о
выходить,из
выяснить,
выяснять,
вязаться,с
гордиться,
готовиться,к вопросу о
держать,в
держать,на
дестабилизировать,
добиться,
довести,до
довольствоваться,
догадаться,о
догадываться,о
докладывать,о
доложить,о
доминировать,
достигать,
достигнуть,
драматизировать,
есть,
забывать,о
забыть,о
завидовать,
зависеть,
зависеть,от
завоевать,
завоёвывать,
завуалировать,
зазнаваться,из-за
закрепить,в
закреплять,в
занимать,
занять,
заснуть,в
застать,в
затруднить,
затруднять,
затрудняться,
злоупотребить,
злоупотреблять,
знакомиться,с
знать,о
знать,
игнорировать,
избегать,
избегнуть,
избежать,
извратить,
извращать,
извращаться,
изменить,
измениться,
изменять,
изменяться,
изучать,
изучаться,
изучить,
иллюстрировать,
иметь,
интересовать,
интересоваться,
информировать,о
использовать,
использоваться,
исправить,
исправлять,
исправляться,
исследовать,
классифицировать,исходя из
классифицироваться,исходя из
компенсироваться,
контролировать,
лежать,в
лишаться,
лишиться,
менять,
мириться,с
назвать,
находиться,в
низвести,до
обдумать,
обдумывать,
обезопасить,
обеспокоиться,
обижаться,ввиду
облегчить,
обмануться,по поводу
обострить,
обостриться,
обострять,
обостряться,
обрисовать,
обрисовывать,
обрисовываться,
обсудить,
обсуждать,
объявить,
объявлять,
обязывать,
ознакомить,с
ознакомиться,с
оказаться,в
оказываться,в
опасаться,
определить,
определять,
осведомить,относительно
осветить,
освещать,
осложнить,
осложниться,
осложнять,
осознавать,
осознать,
оставаться,в
оставить,в
остаться,
отвечать,за
отметить,
отмечать,
отмечаться,
отнестись,к
относиться,к
отражать,
отражаться,
отражаться,на
отразить,
отразиться,на
отреагировать,на
оценивать,
оцениваться,
оценить,
очутиться,в
ошибаться,в части
ошибиться,в части
писать,о
повлиять,на
подвергать,
позволять,
познакомить,с
познакомиться,с
полемизировать,о
полемизировать,
пользоваться,
полюбопытствовать,о
понимать,
понять,
попадать,в
попасть,в
поплатиться,
поправить,
поставить,в
потребовать,
потрясать,
потрясти,
представлять,себе
прекратить,несмотря на
привыкнуть,к
придавать,
придать,
прийти,в
примириться,с
принимать,
принять,
приобрести,
приобретать,
пристроиться,в
проверить,
проверять,
прояснить,
прояснять,
разбираться,в
разделить,
разделять,
различаться,по
разобраться,в
разобраться,с
разрушить,
разузнать,
расшатать,
расшатывать,
расшатываться,
рискнуть,
рисковать,
сдвинуть,
сидеть,в
сказаться,на
складываться,
скомпенсироваться,
сложиться,
создавать,
создаваться,
создать,
сознавать,
сообщать,о
сообщить,о
соответствовать,
сопротивляться,
сохранить,в
сохранить,
сохраниться,
сохранять,в
сохранять,
сохраняться,
спасать,
спасти,
сплетничать,из-за
стабилизировать,
стабилизироваться,
ставить,в
стать,в
стоять,в
стремиться,к
стыдиться,
судить,о
терпеть,
терять,
торговаться,относительно
торговаться,по поводу
требовать,
тяготиться,
угрожать,
удивлять,
удивляться,
удовлетворять,
удостовериться,относительно
удостоверяться,относительно
ужасаться,
ужаснуться,
указать,на
указывать,на
укрепить,
укрепиться,
укреплять,
укрепляться,
улучшать,
улучшаться,
улучшить,
улучшиться,
упрочивать,
упрочить,
упрочиться,
урегулироваться,
устыдиться,
усугубить,
усугубиться,
усугублять,
усугубляться,
уточнить,
уточнять,
уточняться,
ухудшать,
ухудшаться,
ухудшить,
ухудшиться,
учесть,
учитывать,
учитываться,
характеризовать,
хвастать,
хвастаться,
шокировать,
являться,
