Verb,Prep
анализировать,с позиции
анализировать,
анализироваться,
беседовать,о
беспокоить,
бояться,
быть,
быть,в
ввести,в
ввести,
вернуть,в
вернуться,в
вернуться,к вопросу о
внушать,
возвратить,в
возвратиться,в
возвыситься,до
войти,в
воспринимать,
восстанавливаться,
восстановить,
выбраться,из
вызывать,
выйти,из
выйти,замуж в
выкарабкаться,из
выправить,
выправляться,
выпутаться,из
выступить,по вопросу о
выяснить,
вязаться,с
гордиться,
готовиться,к вопросу о
держать,в
держать,на
добиться,
довести,до
довольствоваться,
догадаться,о
доложить,о
доминировать,
достигнуть,
драматизировать,
есть,
забыть,о
завидовать,
зависеть,
зависеть,от
завоевать,
завоёвывать,
завуалировать,
зазнаваться,из-за
закрепить,в
занять,
заснуть,в
застать,в
затруднить,
затрудняться,
злоупотребить,
знать,о
знать,
игнорировать,
избегнуть,
избежать,
извратить,
извращаться,
изменить,
измениться,
изучаться,
изучить,
иметь,
интересовать,
интересоваться,
информировать,о
использоваться,
исправить,
исправляться,
классифицироваться,исходя из
контролировать,
лежать,в
лишиться,
менять,
мириться,с
назвать,
низвести,до
обдумать,
обезопасить,
обеспокоиться,
обижаться,ввиду
облегчить,
обмануться,по поводу
обострить,
обостриться,
обрисовать,
обрисовываться,
обсудить,
объявить,
обязывать,
ознакомить,с
ознакомиться,с
оказаться,в
опасаться,
определить,
осведомить,относительно
осветить,
осложнить,
осложниться,
осознать,
оставаться,в
оставить,в
остаться,
отвечать,за
отметить,
отмечаться,
отнестись,к
отражаться,
отразить,
отразиться,на
отреагировать,на
оцениваться,
оценить,
ошибиться,в части
писать,о
повлиять,на
подвергать,
позволять,
познакомить,с
познакомиться,с
полемизировать,о
полемизировать,
пользоваться,
полюбопытствовать,о
понимать,
понять,
попасть,в
поправить,
поставить,в
потребовать,
потрясти,
представлять,себе
прекратить,несмотря на
привыкнуть,к
придать,
прийти,в
примириться,с
принять,
приобрести,
пристроиться,в
проверить,
прояснить,
разделить,
разделять,
различаться,по
разобраться,в
разобраться,с
разрушить,
разузнать,
расшатать,
расшатываться,
рисковать,
сдвинуть,
сидеть,в
сказаться,на
скомпенсироваться,
сложиться,
создаваться,
создать,
сознавать,
сообщить,о
соответствовать,
сопротивляться,
сохранить,в
сохранить,
сохраниться,
спасти,
сплетничать,из-за
ставить,в
стать,в
стоять,в
стремиться,к
стыдиться,
судить,о
терпеть,
терять,
торговаться,относительно
торговаться,по поводу
тяготиться,
угрожать,
удивлять,
удивляться,
удовлетворять,
удостовериться,относительно
ужаснуться,
указать,на
укрепить,
укрепиться,
укреплять,
улучшить,
улучшиться,
упрочить,
упрочиться,
урегулироваться,
усугубить,
усугубиться,
уточнить,
уточняться,
ухудшить,
ухудшиться,
учесть,
учитываться,
хвастать,
хвастаться,
являться,
